观测日期,测点,X向累计位移量（顺、逆坡）(mm)
2017-03-13,HP02-24H,0.0
2017-03-14,HP02-24H,-0.09699999999999999
2017-03-15,HP02-24H,0.523
2017-03-16,HP02-24H,1.091
2017-03-17,HP02-24H,0.054000000000000006
2017-03-18,HP02-24H,0.991
2017-03-19,HP02-24H,1.274
2017-03-20,HP02-24H,1.5959999999999999
2017-03-22,HP02-24H,1.614
2017-03-23,HP02-24H,1.3619999999999999
2017-03-24,HP02-24H,2.11
2017-03-25,HP02-24H,1.601
2017-03-26,HP02-24H,1.476
2017-03-27,HP02-24H,2.639
2017-03-28,HP02-24H,2.7769999999999997
2017-03-29,HP02-24H,3.378
2017-03-30,HP02-24H,3.6860000000000004
2017-03-31,HP02-24H,3.25
2017-04-01,HP02-24H,3.4130000000000003
2017-04-02,HP02-24H,3.321
2017-04-05,HP02-24H,4.798
2017-04-06,HP02-24H,5.817
2017-04-07,HP02-24H,5.664
2017-04-08,HP02-24H,6.747000000000001
2017-04-13,HP02-24H,6.692
2017-04-14,HP02-24H,6.531000000000001
2017-04-15,HP02-24H,8.104
2017-04-16,HP02-24H,7.8
2017-04-17,HP02-24H,6.129
2017-04-18,HP02-24H,8.037
2017-04-19,HP02-24H,7.0120000000000005
2017-04-20,HP02-24H,8.515
2017-04-21,HP02-24H,7.04
2017-04-22,HP02-24H,8.338
2017-04-23,HP02-24H,9.181000000000001
2017-04-24,HP02-24H,8.655
2017-04-25,HP02-24H,9.607999999999999
2017-04-26,HP02-24H,9.672
2017-04-27,HP02-24H,10.356
2017-04-28,HP02-24H,9.373
2017-04-29,HP02-24H,10.899000000000001
2017-04-30,HP02-24H,10.689
2017-05-01,HP02-24H,10.520999999999999
2017-05-02,HP02-24H,10.571
2017-05-03,HP02-24H,11.710999999999999
2017-05-04,HP02-24H,12.277999999999999
2017-05-05,HP02-24H,11.47
2017-05-06,HP02-24H,10.409
2017-05-07,HP02-24H,11.907
2017-05-08,HP02-24H,10.329
2017-05-09,HP02-24H,11.322000000000001
2017-05-10,HP02-24H,12.283
2017-05-11,HP02-24H,13.307
2017-05-12,HP02-24H,12.387
2017-05-13,HP02-24H,14.115
2017-05-14,HP02-24H,13.142999999999999
2017-05-15,HP02-24H,13.860999999999999
2017-05-16,HP02-24H,12.85
2017-05-17,HP02-24H,15.925
2017-05-18,HP02-24H,14.759
2017-05-19,HP02-24H,15.065
2017-05-20,HP02-24H,14.607000000000001
2017-05-21,HP02-24H,15.751
2017-05-22,HP02-24H,15.463
