观测日期,X向累计位移量（顺、逆坡）(mm)
2017/3/13,0
2017/3/14,-0.097
2017/3/15,0.523
2017/3/16,1.091
2017/3/17,0.054
2017/3/18,0.991
2017/3/19,1.274
2017/3/20,1.596
2017/3/22,1.614
2017/3/23,1.362
2017/3/24,2.11
2017/3/25,1.601
2017/3/26,1.476
2017/3/27,2.639
2017/3/28,2.777
2017/3/29,3.378
2017/3/30,3.686
2017/3/31,3.25
2017/4/1,3.413
2017/4/2,3.321
2017/4/5,4.798
2017/4/6,5.817
2017/4/7,5.664
2017/4/8,6.747
2017/4/13,6.692
2017/4/14,6.531
2017/4/15,8.104
2017/4/16,7.8
2017/4/17,6.129
2017/4/18,8.037
2017/4/19,7.012
2017/4/20,8.515
2017/4/21,7.04
2017/4/22,8.338
2017/4/23,9.181
2017/4/24,8.655
2017/4/25,9.608
2017/4/26,9.672
2017/4/27,10.356
2017/4/28,9.373
2017/4/29,10.899
2017/4/30,10.689
2017/5/1,10.521
2017/5/2,10.571
2017/5/3,11.711
2017/5/4,12.278
2017/5/5,11.47
2017/5/6,10.409
2017/5/7,11.907
2017/5/8,10.329
2017/5/9,11.322
2017/5/10,12.283
2017/5/11,13.307
2017/5/12,12.387
2017/5/13,14.115
2017/5/14,13.143
2017/5/15,13.861
2017/5/16,12.85
2017/5/17,15.925
2017/5/18,14.759
2017/5/19,15.065
2017/5/20,14.607
2017/5/21,15.751
2017/5/22,15.463
2017/5/23,15.776
2017/5/24,15.452
2017/5/25,16.113
2017/5/26,15.808
2017/5/27,17.46
2017/5/28,17.587
2017/5/29,15.879
2017/5/30,16.2345
2017/6/1,18.489
2017/6/2,17.218
2017/6/3,18.422
2017/6/4,19.034
2017/6/5,19.084
2017/6/6,19.907
2017/6/7,19.236
2017/6/8,19.767
2017/6/9,19.832
2017/6/10,21.204
2017/6/11,21.068
2017/6/12,22.146
2017/6/13,21.41
2017/6/14,21.439
2017/6/15,20.899
2017/6/16,20.519
2017/6/17,23.293
2017/6/18,22.636
2017/6/19,23.812
2017/6/20,23.619
2017/6/21,25.645
2017/6/22,26.025
2017/6/23,23.662
2017/6/24,25.56
2017/6/25,25.921
2017/6/26,26.816
2017/6/27,29.132
2017/6/28,29.055
2017/6/29,28.867
2017/6/30,29.424
2017/7/3,30.085
2017/7/4,29.468
2017/7/6,31.692
2017/7/7,34.358
2017/7/8,34.188
2017/7/9,36.37
2017/7/10,36.355
2017/7/11,37.535
2017/7/12,41.311
2017/7/14,47.859
2017/7/15,51.867
2017/7/16,58.87
2017/7/17,71.509
2017/7/18,93.124
2017/7/19,133.766
2017/7/20,191.143
2017/7/21,259.433
2017/7/22,329.211
2017/7/23,395.524
2017/7/24,460.197
2017/7/25,521.917
2017/7/26,576.08
2017/7/27,632.29
2017/7/28,681.224
2017/7/29,727.678
2017/7/30,771.367
2017/7/31,806.626
2017/8/1,842.883
2017/8/2,883.098
2017/8/3,914.605
2017/8/4,951.428
2017/8/5,987.28
2017/8/6,1023.389
2017/8/7,1058.959
2017/8/8,1090.598
2017/8/9,1136.473
2017/8/11,1192.683
2017/8/12,1227.269
2017/8/13,1265.47
2017/8/14,1301.188
2017/8/15,1332.944
2017/8/16,1368.028
2017/8/17,1401.917
2017/8/18,1436.092
2017/8/19,1474.172
2017/8/20,1517.205
2017/8/22,1624.178
2017/8/23,1673.5
2017/8/24,1740.562
2017/8/25,1809.58
2017/8/26,1878.373
2017/8/27,1955.504
2017/8/28,2040.031
2017/8/29,2122.429
2017/8/30,2215.631
2017/9/1,2459.165
