年月日,求和项:震级的能量释放
2017/1/1,378575.6791
2017/1/2,441680.7356
2017/1/4,2604544.055
2017/1/5,3659969.256
2017/1/6,1009566.596
2017/1/7,252394.3749
2017/1/8,189299.4825
2017/1/9,378589.3546
2017/1/10,126199.9107
2017/1/11,504874.0149
2017/1/12,126254.7144
2017/1/13,378584.5342
2017/1/14,504828.9442
2017/1/15,631332.5008
2017/1/16,1143498.124
2017/1/17,2903512.221
2017/1/18,1388139.601
2017/1/19,381430.2744
2017/1/20,315490.4595
2017/1/21,631045.9831
2017/1/22,252393.297
2017/1/23,820787.6426
2017/1/24,946636.5475
2017/1/25,4416862.265
2017/1/26,1009729.466
2017/1/27,1829887.595
2017/1/28,820416.5016
2017/1/29,632517.778
2017/1/30,568013.0555
2017/1/31,63097.72971
2017/2/1,315486.1528
2017/2/2,885033.4557
2017/2/3,315481.1349
2017/2/4,631580.0302
2017/2/5,315514.5243
2017/2/6,189290.2614
2017/2/7,2463475.868
2017/2/8,631567.7766
2017/2/9,1137365.405
2017/2/10,126193.8814
2017/2/11,315737.5452
2017/2/12,820289.0087
2017/2/13,252418.8666
2017/2/14,189327.0206
2017/2/15,126192.9445
2017/2/16,189319.5785
2017/2/17,12748259.18
2017/2/18,8052118.498
2017/2/19,21485787.5
2017/2/20,12747100.95
2017/2/21,5363585.538
2017/2/22,4038447.132
2017/2/23,2777708.883
2017/2/24,2019163.668
2017/2/25,1199248.109
2017/2/26,2397805.402
2017/2/27,2273084.946
2017/2/28,7011620.205
2017/3/1,3470463.684
2017/3/2,1198906.781
2017/3/3,1829805.086
2017/3/4,757216.3059
2017/3/5,957811.1714
2017/3/6,947037.3974
2017/3/7,1957485.22
2017/3/8,883374.5411
2017/3/9,1451547.716
2017/3/10,694072.1652
2017/3/11,441674.5779
2017/3/12,1451783.038
2017/3/13,1894228.087
2017/3/14,694077.0833
2017/3/15,883543.0585
2017/3/16,757158.7301
2017/3/17,442394.5707
2017/3/18,252394.6992
2017/3/19,1198859.234
2017/3/20,252406.1181
2017/3/21,504870.8814
2017/3/22,757545.7559
2017/3/23,252386.54
2017/3/24,441673.3855
2017/3/25,378657.4159
2017/3/26,441698.4119
2017/3/27,694216.5043
2017/3/28,441698.1768
2017/3/29,378602.5627
2017/3/30,694388.2535
2017/3/31,1009578.045
2017/4/1,315527.169
2017/4/2,567953.8761
2017/4/3,441808.4173
2017/4/4,567865.9915
2017/4/5,504788.7813
2017/4/6,126195.2873
2017/4/7,505040.2797
2017/4/8,630992.5284
2017/4/9,820401.2587
2017/4/10,883522.5803
2017/4/11,883444.326
2017/4/12,567911.269
2017/4/13,315505.2638
2017/4/14,315490.292
2017/4/15,189288.8093
2017/4/16,315488.4131
2017/4/17,694075.1596
2017/4/18,252391.7392
2017/4/19,252407.181
2017/4/20,504791.4378
2017/4/21,631036.933
2017/4/22,189305.4024
2017/4/23,126193.3826
2017/4/25,631780.2837
2017/4/26,315860.1151
2017/4/27,315746.358
2017/4/28,189321.8107
2017/4/29,378706.9606
2017/4/30,126194.6421
2017/5/1,63099.71552
2017/5/2,504968.8662
2017/5/3,378604.6785
2017/5/4,189315.2273
2017/5/5,126193.3826
2017/5/7,315518.6732
2017/5/8,63103.67773
2017/5/9,189364.4945
2017/5/10,441678.6524
2017/5/11,252474.7977
2017/5/12,63098.55283
2017/5/13,1264039.873
2017/5/14,378583.499
2017/5/15,631070.4678
2017/5/16,378710.0431
2017/5/17,315576.1237
2017/5/18,126195.6998
2017/5/19,126193.3826
2017/5/20,378595.0106
2017/5/21,316003.68
2017/5/22,189296.2346
2017/5/24,63099.71552
2017/5/25,189300.7889
2017/5/26,126204.6843
2017/5/27,126193.2362
2017/5/28,63099.71552
2017/5/29,189356.6304
2017/5/30,126197.4452
2017/5/31,126391.684
2017/6/1,63118.12166
2017/6/2,63097.72971
2017/6/4,252650.5671
2017/6/5,252468.8334
2017/6/6,441821.1601
2017/6/7,126199.431
2017/6/8,252386.8501
2017/6/9,189290.9066
2017/6/10,337885.559
2017/6/11,63111.58338
2017/6/12,457555.5435
2017/6/13,252425.2082
2017/6/14,189369.1179
2017/6/15,126325.2623
2017/6/16,63118.12166
2017/6/18,63101.35786
2017/6/19,189313.4089
2017/6/20,378624.2985
2017/6/21,315501.8623
2017/6/22,126221.7994
2017/6/23,189330.7505
2017/6/24,126465.0448
2017/6/28,63111.58338
2017/6/29,63118.12166
2017/6/30,63097.14699
2017/7/1,631024.2644
2017/7/2,252400.808
2017/7/3,189334.7501
2017/7/4,441718.4255
2017/7/5,63127.35722
2017/7/6,63118.12166
2017/7/7,63106.95463
2017/7/8,252508.4993
2017/7/9,441767.5322
2017/7/10,63099.71552
2017/7/11,63111.58338
2017/7/13,126276.9518
2017/7/14,189295.0028
2017/7/16,315508.161
2017/7/18,63101.35786
2017/7/19,126198.5048
2017/7/20,252658.4172
2017/7/21,316838.1262
2017/7/22,252394.2611
2017/7/23,126202.7157
2017/7/24,126192.6467
2017/7/26,189292.7228
2017/7/27,378588.0217
2017/7/28,189800.3149
2017/7/30,63096.73445
2017/8/2,378612.1449
2017/8/4,63097.72971
2017/8/7,126194.7885
2017/8/8,63106.95463
2017/8/9,315533.9584
2017/8/10,63099.71552
2017/8/11,63095.86034
2017/8/12,63096.08926
2017/8/13,189332.8647
2017/8/14,316593.1798
2017/8/15,315501.9134
2017/8/17,126198.5048
2017/8/18,63096.44239
2017/8/19,252660.332
2017/8/20,126194.8767
2017/8/21,63098.55283
2017/8/22,63097.72971
2017/8/23,441793.2818
2017/8/24,126194.8767
2017/8/25,378678.5393
2017/8/26,189313.6248
2017/8/28,63099.71552
2017/8/30,63118.12166
2017/8/31,64095.73445
2017/9/1,252451.4172
2017/9/2,252438.9572
2017/9/3,189302.7653
2017/9/6,189340.3135
2017/9/7,252398.5658
2017/9/8,315617.2866
2017/9/9,441777.5952
2017/9/11,126219.4795
2017/9/12,631249.1123
2017/9/15,63103.67773
2017/9/16,126195.2873
2017/9/17,189435.782
2017/9/18,189301.9461
2017/9/19,441701.9652
2017/9/20,252443.9762
2017/9/22,126212.9412
2017/9/23,126219.4795
2017/9/24,63099.71552
2017/9/25,63098.55283
2017/9/26,315501.3677
2017/9/28,441964.896
2017/9/29,378665.3322
2017/9/30,63596.92168
2017/10/1,441730.0807
2017/10/2,63127.35722
2017/10/3,126209.3131
2017/10/4,63101.35786
2017/10/5,63099.71552
2017/10/6,126224.0917
2017/10/7,189294.3279
2017/10/8,126194.4642
2017/10/9,315515.7141
2017/10/10,189306.8653
2017/10/11,126199.9107
2017/10/13,63096.73445
2017/10/14,252385.3981
2017/10/15,126206.6702
2017/10/16,189472.0672
2017/10/17,63101.35786
2017/10/18,252467.2761
2017/10/19,63450.54784
2017/10/20,189324.2197
2017/10/21,63221.62699
2017/10/22,126198.0923
2017/10/25,315492.2778
2017/10/28,189289.1204
2017/10/29,63096.73445
2017/10/30,441676.0469
2017/10/31,63096.23564
2017/11/1,378593.4154
2017/11/2,126321.3425
2017/11/3,315601.4749
2017/11/4,252743.4402
2017/11/6,315543.5973
2017/11/8,63096.73445
2017/11/9,63101.35786
2017/11/10,63101.35786
2017/11/11,126212.9412
2017/11/12,63096.73445
2017/11/13,63096.08926
2017/11/14,315689.6424
2017/11/15,315543.3298
2017/11/16,126444.6528
2017/11/19,63096.44239
2017/11/20,189299.8356
2017/11/21,504819.5419
2017/11/22,252573.342
2017/11/23,189379.5016
2017/11/24,1136958.811
2017/11/25,63095.98564
2017/11/27,126194.8767
2017/11/28,252392.3238
2017/11/30,189289.1204
2017/12/1,63095.86034
2017/12/2,126225.0763
2017/12/3,126197.8003
2017/12/5,189293.8876
2017/12/6,63096.44239
2017/12/7,315483.6136
2017/12/8,252566.8673
2017/12/9,63097.72971
2017/12/10,189436.4831
2017/12/11,252725.4584
2017/12/12,126199.0876
2017/12/14,126211.2989
2017/12/15,441683.3804
2017/12/16,126197.5935
2017/12/17,379019.8119
2017/12/18,567877.8468
2017/12/19,126200.4122
2017/12/23,63099.71552
2017/12/24,126191.846
2017/12/25,126198.0923
2017/12/26,189332.0309
2017/12/27,189294.8268
2017/12/28,189319.0271
2017/12/29,63096.08926
2017/12/30,63127.35722
2017/12/31,63103.67773
2018/1/1,189298.8031
2018/1/2,126254.8158
2018/1/3,126317.8626
2018/1/5,441699.3489
2018/1/6,252428.8467
2018/1/7,137422.8736
2018/1/8,378596.662
2018/1/9,252392.7335
2018/1/10,189290.9066
2018/1/11,441807.3929
2018/1/12,189294.5941
2018/1/13,63098.55283
2018/1/14,315676.4187
2018/1/17,63118.12166
2018/1/18,126194.9952
2018/1/20,252390.5779
2018/1/21,315513.1375
2018/1/22,189288.5605
2018/1/23,378578.1485
2018/1/24,567882.1586
2018/1/25,189314.2991
2018/1/26,441752.0194
2018/1/27,252396.1932
2018/1/29,126196.45
2018/2/1,378597.4141
2018/2/2,253096.8646
2018/2/3,63096.73445
2018/2/4,126200.4122
2018/2/5,449642.2056
2018/2/6,126198.5048
2018/2/8,126255.9772
2018/2/9,63096.73445
2018/2/10,378624.075
2018/2/11,126206.6702
2018/2/13,63098.55283
2018/2/14,252475.4754
