观测日期,降雨量(mm)
2016-01-22,1.0
2016-01-23,1.5
2016-01-24,1.0
2016-01-31,0.5
2016-02-05,1.0
2016-02-06,0.5
2016-02-21,4.0
2016-02-22,2.0
2016-02-23,2.0
2016-02-24,4.5
2016-02-25,1.5
2016-03-08,8.0
2016-03-09,4.5
2016-03-10,1.5
2016-03-21,6.5
2016-03-22,15.0
2016-03-23,6.0
2016-03-29,5.5
2016-04-05,1.0
2016-04-07,11.5
2016-04-11,11.0
2016-04-12,14.0
2016-04-13,1.0
2016-04-14,1.0
2016-04-16,5.5
2016-04-17,0.5
2016-04-19,3.5
2016-04-20,1.0
2016-04-21,1.5
2016-04-22,1.5
2016-04-23,11.5
2016-04-24,3.5
2016-04-25,2.0
2016-04-27,18.0
2016-04-28,13.5
2016-04-29,1.0
2016-05-01,3.5
2016-05-05,17.0
2016-05-06,4.5
2016-05-07,6.0
2016-05-08,5.0
2016-05-12,2.0
2016-05-14,9.5
2016-05-15,0.5
2016-05-16,1.0
2016-05-17,6.0
2016-05-18,1.5
2016-05-20,11.5
2016-05-21,11.5
2016-05-22,8.0
2016-05-23,2.5
2016-05-25,14.0
2016-05-31,19.0
2016-06-02,14.0
2016-06-04,1.0
2016-06-06,4.5
2016-06-08,3.0
2016-06-09,11.5
2016-06-10,12.0
2016-06-13,1.0
2016-06-14,37.5
2016-06-15,6.5
2016-06-18,16.5
2016-06-20,22.5
2016-06-23,27.5
2016-06-24,0.5
2016-06-27,2.0
2016-06-29,17.5
2016-06-30,3.5
2016-07-02,5.5
2016-07-04,42.5
2016-07-05,17.5
2016-07-06,4.5
2016-07-08,7.5
2016-07-09,18.0
2016-07-10,0.5
2016-07-11,24.5
2016-07-12,18.5
2016-07-13,27.5
2016-07-14,10.0
2016-07-17,4.5
2016-07-19,1.0
2016-07-21,2.5
2016-07-22,28.5
2016-07-23,11.5
2016-07-24,2.0
2016-07-26,48.5
2016-07-27,1.0
2016-07-29,30.5
2016-07-30,52.0
2016-07-31,49.0
2016-08-01,82.0
2016-08-02,11.0
2016-08-04,5.5
2016-08-05,28.5
2016-08-06,2.0
2016-08-07,2.0
2016-08-08,1.0
2016-08-09,17.0
2016-08-10,6.5
2016-08-11,31.5
2016-08-12,1.0
2016-08-24,5.5
2016-08-25,16.5
2016-08-26,3.0
2016-08-29,20.5
2016-08-30,7.5
2016-08-31,1.0
2016-09-03,41.5
2016-09-04,9.0
2016-09-05,15.5
2016-09-06,5.0
2016-09-07,5.0
2016-09-08,14.5
2016-09-09,1.5
2016-09-12,2.0
2016-09-14,2.0
2016-09-15,2.0
2016-09-16,1.5
2016-09-17,1.0
2016-09-18,13.0
2016-09-19,16.0
2016-09-20,0.5
2016-09-22,10.5
2016-09-23,2.0
2016-09-24,2.5
2016-09-26,2.0
2016-09-27,12.0
2016-09-29,8.5
2016-09-30,9.0
2016-10-04,33.0
2016-10-05,3.0
2016-10-07,0.5
2016-10-17,0.5
2016-10-18,2.5
2016-10-22,8.0
2016-10-27,2.5
2016-11-07,9.5
2016-11-08,0.5
2016-11-19,0.5
2016-11-26,1.0
2016-12-13,0.5
2016-12-15,5.5
2016-12-26,1.0
2017-01-16,0.5
2017-02-10,0.5
2017-02-14,1.0
2017-02-21,6.5
2017-02-22,0.5
2017-03-05,3.0
2017-03-07,0.5
2017-03-08,0.5
2017-03-20,1.0
2017-03-21,0.5
2017-03-24,0.5
2017-03-26,4.0
2017-03-29,0.5
2017-03-31,0.5
2017-04-02,0.5
2017-04-10,1.0
2017-04-11,1.0
2017-04-15,1.0
2017-04-16,15.5
2017-04-19,1.0
2017-04-20,8.0
2017-04-21,0.5
2017-04-22,0.5
2017-04-24,10.0
2017-04-25,10.0
2017-04-26,10.5
2017-04-27,2.0
2017-04-28,3.0
2017-04-30,0.5
2017-05-02,2.0
2017-05-04,1.0
2017-05-05,14.5
2017-05-09,1.5
2017-05-10,1.5
2017-05-11,1.0
2017-05-13,2.0
2017-05-14,14.0
2017-05-15,3.5
2017-05-17,1.5
2017-05-18,1.0
