date,t
2015-01-01,7.8
2015-01-02,9.0
2015-01-03,7.4
2015-01-04,8.5
2015-01-05,7.3
2015-01-06,7.6
2015-01-07,8.5
2015-01-08,7.5
2015-01-09,8.25
2015-01-10,7.7
2015-01-11,8.6
2015-01-12,6.9
2015-01-13,6.2
2015-01-14,7.9
2015-01-15,8.0
2015-01-16,8.4
2015-01-17,8.4
2015-01-18,9.1
2015-01-19,8.9
2015-01-20,8.9
2015-01-21,11.8
2015-01-22,9.8
2015-01-23,9.6
2015-01-24,10.2
2015-01-25,11.3
2015-01-26,13.0
2015-01-27,11.9
2015-01-28,11.3
2015-01-29,8.7
2015-01-30,6.0
2015-01-31,6.0
2015-02-01,7.0
2015-02-02,7.1
2015-02-03,6.3
2015-02-04,7.6
2015-02-05,7.0
2015-02-06,8.8
2015-02-07,8.0
2015-02-08,6.5
2015-02-09,6.9
2015-02-10,8.8
2015-02-11,9.4
2015-02-12,11.3
2015-02-13,13.3
2015-02-14,11.3
2015-02-15,9.1
2015-02-16,10.8
2015-02-17,11.0
2015-02-18,13.0
2015-02-19,15.4
2015-02-20,14.3
2015-02-21,15.9
2015-02-22,15.1
2015-02-23,12.3
2015-02-24,13.8
2015-02-25,14.1
2015-02-26,13.2
2015-02-27,12.7
2015-02-28,12.0
2015-03-01,10.8
2015-03-02,13.4
2015-03-03,11.4
2015-03-04,10.2
2015-03-05,10.8
2015-03-06,12.8
2015-03-07,13.7
2015-03-08,14.5
2015-03-09,15.3
2015-03-10,12.7
2015-03-11,13.5
2015-03-12,16.2
2015-03-13,16.1
2015-03-14,17.4
2015-03-15,19.3
2015-03-16,20.2
2015-03-17,20.3
2015-03-18,20.7
2015-03-19,19.5
2015-03-20,15.5
2015-03-21,17.5
2015-03-22,20.2
2015-03-23,15.5
2015-03-24,13.5
2015-03-25,18.3
2015-03-26,18.7
2015-03-27,19.1
2015-03-28,17.1
2015-03-29,19.5
2015-03-30,21.1
2015-03-31,22.7
2015-04-01,24.2
2015-04-02,21.9
2015-04-03,21.9
2015-04-04,22.9
2015-04-05,16.9
2015-04-06,13.8
2015-04-07,12.8
2015-04-08,12.9
2015-04-09,12.1
2015-04-10,12.9
2015-04-11,15.0
2015-04-12,17.4
2015-04-13,17.6
2015-04-14,19.0
2015-04-15,21.4
2015-04-16,21.4
2015-04-17,24.1
2015-04-18,25.5
2015-04-19,17.7
2015-04-20,16.8
2015-04-21,15.7
2015-04-22,14.1
2015-04-23,14.3
2015-04-24,16.3
2015-04-25,17.4
2015-04-26,19.1
2015-04-27,20.2
2015-04-28,21.4
2015-04-29,21.3
2015-04-30,21.5
2015-05-01,21.4
2015-05-02,22.0
2015-05-03,19.4
2015-05-04,17.2
2015-05-05,20.0
2015-05-06,23.1
2015-05-07,21.1
2015-05-08,23.2
2015-05-09,22.7
2015-05-10,22.2
2015-05-11,19.1
2015-05-12,20.2
2015-05-13,24.8
2015-05-14,24.8
2015-05-15,19.0
2015-05-16,20.8
2015-05-17,20.2
2015-05-18,21.2
2015-05-19,23.8
2015-05-20,19.6
2015-05-21,18.7
2015-05-22,18.4
2015-05-23,19.0
2015-05-24,20.7
2015-05-25,21.5
2015-05-26,23.4
