观测日期,X向累计位移量（顺、逆坡）(mm)
2019/8/1,18465.488
2019/8/2,18471.571
2019/8/3,18476.768
2019/8/4,18483.129
2019/8/5,18491.209
2019/8/6,18497.587
2019/8/7,18508.321
2019/8/8,18517.114
2019/8/9,18524.341
2019/8/10,18532.571
2019/8/11,18539.259
2019/8/12,18543.551
2019/8/13,18550.948
2019/8/14,18555.163
2019/8/15,18556.663
2019/8/16,18557.418
2019/8/17,18558.788
2019/8/18,18561.332
2019/8/19,18563.208
2019/8/20,18563.516
2019/8/21,18564.962
2019/8/22,18564.424
2019/8/23,18566.504
2019/8/24,18565.834
2019/8/25,18568.234
2019/8/26,18568.929
2019/8/27,18571.562
2019/8/28,18570.473
2019/8/29,18570.539
2019/8/30,18572.415
2019/8/31,18573.926
2019/9/1,18573.906
2019/9/2,18574.97
2019/9/5,18575.699
2019/9/6,18576.849
2019/9/7,18577.407
2019/9/8,18576.104
2019/9/9,18578.235
2019/9/10,18578.546
2019/9/11,18577.367
2019/9/12,18579.621
2019/9/13,18580.36
2019/9/14,18578.562
2019/9/15,18578.435
2019/9/16,18579.407
2019/9/17,18580.104
2019/9/18,18580.029
2019/9/19,18581.005
2019/9/20,18581.209
2019/9/21,18581.092
2019/9/22,18580.632
2019/9/23,18582.378
2019/9/24,18582.094
2019/9/25,18582.16
2019/9/26,18581.627
2019/9/27,18582.427
2019/9/28,18581.713
2019/9/29,18582.575
2019/9/30,18584.036
2019/10/1,18580.399
2019/10/2,18582.053
2019/10/3,18583.791
2019/10/4,18585.718
2019/10/5,18584.9
2019/10/6,18584.858
2019/10/7,18585.206
2019/10/9,18584.945
