¹Û²âÈÕÆÚ,¦¤X,¦¤Y,¦¤H
2018/4/1,5.0 ,5.6 ,7.9 
2018/4/2,8.4 ,10.7 ,14.7 
2018/4/3,6.3 ,15.7 ,15.2 
2018/4/4,7.6 ,14.0 ,18.8 
2018/4/5,8.7 ,22.4 ,17.7 
2018/4/6,9.8 ,27.0 ,22.9 
2018/4/7,10.7 ,26.6 ,26.8 
2018/4/8,9.9 ,24.8 ,33.4 
2018/4/9,13.4 ,37.7 ,36.1 
2018/4/10,15.4 ,45.2 ,38.9 
2018/4/11,18.2 ,55.4 ,41.7 
2018/4/12,16.2 ,57.1 ,43.0 
2018/4/13,16.9 ,45.0 ,50.5 
2018/4/14,16.3 ,39.8 ,54.9 
2018/4/15,16.4 ,37.1 ,60.9 
2018/4/16,18.9 ,50.0 ,61.3 
2018/4/17,23.7 ,61.4 ,64.5 
2018/4/18,26.2 ,72.4 ,68.6 
2018/4/19,25.9 ,69.3 ,69.0 
2018/4/20,25.6 ,68.0 ,69.4 
2018/4/21,25.3 ,65.8 ,69.8 
2018/4/22,25.0 ,64.0 ,70.2 
2018/4/23,25.7 ,66.0 ,78.2 
2018/4/24,27.1 ,73.3 ,77.1 
2018/4/25,29.4 ,78.9 ,77.4 
2018/4/26,31.0 ,78.3 ,79.7 
2018/4/27,31.3 ,79.4 ,81.9 
2018/4/28,30.5 ,80.6 ,86.6 
2018/4/29,30.3 ,86.7 ,89.5 
2018/4/30,33.7 ,92.8 ,89.6 
2018/5/2,35.5 ,98.0 ,94.5 
2018/5/3,36.4 ,94.3 ,98.1 
2018/5/4,37.5 ,94.9 ,101.5 
2018/5/5,39.4 ,105.9 ,101.9 
2018/5/6,39.7 ,105.6 ,108.1 
2018/5/7,40.2 ,101.7 ,111.1 
2018/5/8,38.7 ,105.1 ,112.2 
2018/5/9,40.0 ,113.9 ,115.9 
2018/5/10,42.4 ,113.4 ,117.9 
2018/5/11,41.8 ,111.9 ,121.4 
2018/5/12,43.4 ,116.3 ,124.5 
2018/5/13,43.8 ,120.1 ,130.6 
2018/5/14,47.1 ,123.1 ,136.3 
2018/5/15,43.7 ,127.2 ,141.1 
2018/5/16,48.3 ,129.2 ,149.4 
2018/5/17,48.9 ,132.2 ,152.3 
2018/5/18,52.9 ,138.6 ,153.6 
2018/5/19,55.9 ,149.8 ,158.4 
2018/5/20,56.9 ,157.8 ,164.1 
2018/5/21,57.5 ,156.4 ,168.5 
2018/5/22,56.9 ,162.2 ,173.6 
2018/5/23,54.8 ,163.2 ,177.7 
2018/5/24,61.5 ,174.6 ,185.5 
2018/5/25,63.4 ,172.6 ,190.9 
2018/5/27,68.9 ,192.8 ,197.3 
2018/5/28,70.5 ,194.2 ,198.7 
2018/5/29,70.3 ,194.5 ,206.7 
2018/5/30,74.3 ,205.7 ,213.2 
2018/5/31,76.0 ,210.8 ,218.8 
2018/6/1,78.5 ,213.4 ,226.9 
2018/6/2,80.6 ,217.2 ,233.8 
2018/6/3,79.6 ,226.1 ,238.4 
2018/6/4,86.0 ,236.1 ,245.7 
2018/6/5,88.7 ,245.5 ,251.7 
2018/6/6,90.0 ,245.1 ,264.9 
2018/6/7,92.8 ,254.5 ,271.3 
2018/6/8,93.8 ,257.1 ,277.6 
2018/6/9,95.1 ,255.9 ,283.3 
2018/6/10,98.5 ,269.6 ,292.5 
2018/6/11,100.9 ,275.8 ,300.0 
2018/6/12,103.5 ,284.7 ,302.6 
2018/6/13,105.6 ,290.9 ,306.8 
2018/6/14,109.0 ,302.3 ,322.3 
2018/6/15,114.0 ,314.9 ,336.1 
2018/6/16,122.1 ,335.2 ,357.5 
2018/6/17,128.6 ,355.5 ,385.6 
2018/6/18,137.4 ,377.8 ,414.2 
2018/6/19,148.0 ,405.5 ,437.1 
2018/6/20,157.0 ,431.8 ,461.0 
2018/6/21,165.1 ,454.7 ,490.8 
2018/6/22,173.4 ,473.7 ,515.6 
2018/6/23,182.3 ,500.0 ,544.2 
2018/6/24,188.7 ,519.8 ,566.6 
2018/6/25,197.9 ,546.8 ,590.4 
2018/6/26,202.9 ,564.0 ,617.0 
2018/6/27,213.1 ,584.8 ,635.9 
2018/6/28,220.4 ,603.5 ,661.6 
2018/6/29,226.5 ,624.6 ,680.3 
2018/6/30,234.5 ,643.3 ,707.3 
2018/7/1,240.6 ,658.2 ,725.1 
2018/7/2,248.9 ,683.3 ,745.0 
2018/7/3,255.9 ,696.0 ,760.2 
2018/7/4,262.0 ,714.6 ,779.0 
2018/7/5,268.1 ,733.1 ,797.8 
2018/7/6,274.4 ,751.1 ,820.0 
2018/7/7,280.5 ,767.2 ,839.3 
2018/7/8,285.5 ,785.0 ,854.9 
2018/7/9,293.6 ,802.7 ,879.6 
2018/7/10,300.9 ,826.9 ,898.8 
2018/7/11,305.7 ,837.6 ,917.3 
2018/7/12,311.3 ,854.0 ,932.1 
2018/7/13,317.4 ,871.7 ,950.4 
2018/7/14,321.8 ,882.1 ,970.2 
2018/7/15,331.4 ,908.1 ,989.0 
2018/7/16,335.4 ,920.5 ,1005.9 
2018/7/17,339.4 ,932.6 ,1021.7 
2018/7/18,345.0 ,947.5 ,1039.0 
2018/7/19,351.8 ,965.4 ,1056.9 
2018/7/20,356.8 ,980.0 ,1071.5 
2018/7/21,365.4 ,1000.4 ,1091.5 
2018/7/22,367.2 ,1006.5 ,1100.5 
2018/7/23,370.1 ,1017.6 ,1114.4 
2018/7/24,375.1 ,1029.4 ,1130.4 
2018/7/25,379.3 ,1042.4 ,1147.9 
2018/7/26,384.3 ,1050.6 ,1160.2 
2018/7/27,389.5 ,1065.9 ,1174.6 
2018/7/28,392.8 ,1079.7 ,1186.4 
2018/7/29,396.1 ,1086.5 ,1200.0 
2018/7/30,398.7 ,1094.8 ,1217.9 
2018/7/31,403.4 ,1107.8 ,1226.1 
2018/8/1,408.9 ,1126.5 ,1234.6 
2018/8/2,411.1 ,1127.7 ,1252.5 
2018/8/3,415.6 ,1142.4 ,1258.9 
2018/8/4,416.5 ,1139.5 ,1274.8 
2018/8/5,421.8 ,1151.4 ,1286.7 
2018/8/6,427.4 ,1161.1 ,1296.7 
2018/8/7,430.7 ,1174.5 ,1307.7 
2018/8/8,434.1 ,1187.9 ,1318.8 
2018/8/9,438.0 ,1206.9 ,1329.8 
2018/8/10,441.6 ,1209.9 ,1342.0 
2018/8/11,446.6 ,1213.9 ,1352.4 
2018/8/12,446.8 ,1232.4 ,1358.8 
2018/8/13,448.8 ,1239.6 ,1363.4 
2018/8/14,457.5 ,1249.6 ,1373.1 
2018/8/15,454.7 ,1247.6 ,1391.2 
2018/8/16,460.1 ,1268.3 ,1401.6 
2018/8/17,467.1 ,1279.2 ,1410.4 
2018/8/18,465.1 ,1282.3 ,1421.4 
2018/8/19,470.0 ,1296.7 ,1428.2 
2018/8/20,471.4 ,1302.0 ,1439.7 
2018/8/21,475.5 ,1315.1 ,1447.0 
2018/8/22,479.5 ,1325.5 ,1457.6 
2018/8/23,482.2 ,1329.5 ,1466.1 
2018/8/24,484.5 ,1336.1 ,1484.4 
2018/8/25,487.4 ,1348.6 ,1485.9 
2018/8/26,490.6 ,1356.4 ,1493.8 
2018/8/27,490.5 ,1353.9 ,1507.1 
2018/8/28,497.7 ,1372.4 ,1513.2 
2018/8/29,495.3 ,1362.8 ,1521.9 
2018/8/30,501.9 ,1388.5 ,1527.0 
2018/8/31,502.5 ,1385.9 ,1536.4 
2018/9/1,504.1 ,1400.4 ,1544.2 
2018/9/2,510.0 ,1409.7 ,1549.2 
2018/9/3,511.7 ,1413.5 ,1559.0 
2018/9/4,516.4 ,1426.9 ,1565.5 
2018/9/5,516.4 ,1430.4 ,1575.5 
2018/9/6,521.2 ,1442.3 ,1582.1 
2018/9/7,524.0 ,1451.6 ,1590.6 
2018/9/8,525.3 ,1454.5 ,1597.7 
2018/9/9,528.4 ,1462.7 ,1602.5 
2018/9/10,530.7 ,1465.5 ,1610.6 
2018/9/11,533.0 ,1474.1 ,1619.8 
2018/9/12,536.7 ,1485.8 ,1628.0 
2018/9/13,536.3 ,1483.5 ,1633.8 
2018/9/14,540.9 ,1494.2 ,1640.4 
2018/9/15,543.3 ,1502.6 ,1648.0 
2018/9/16,546.0 ,1510.7 ,1654.7 
2018/9/17,548.6 ,1514.9 ,1661.9 
2018/9/18,547.3 ,1508.9 ,1675.3 
2018/9/19,552.4 ,1527.2 ,1680.8 
2018/9/20,554.5 ,1533.6 ,1684.9 
2018/9/21,557.6 ,1539.8 ,1691.8 
2018/9/22,558.6 ,1540.7 ,1700.3 
