????,©´X,©´Y,©´H
2018/4/1,3.1,5.9,6.4
2018/4/2,3.9,11.3,10.9
2018/4/3,2.6,12.2,9.2
2018/4/4,3.2,10.6,13.7
2018/4/5,3.4,17.6,13.3
2018/4/6,4.1,22.9,18.2
2018/4/7,5.7,26.5,18.8
2018/4/8,4.9,24.6,22.4
2018/4/9,5.6,31.4,26
2018/4/10,6.8,36.7,27.4
2018/4/11,7.8,42.7,29.9
2018/4/12,8.2,41.3,32.9
2018/4/13,9.2,45.9,35.8
2018/4/14,9.9,47.5,38.8
2018/4/15,10.8,50.6,41.8
2018/4/16,7.9,44.7,45.7
2018/4/17,9.7,51.4,49.2
2018/4/18,11.5,58.1,51
2018/4/19,12,59,50.1
2018/4/20,12.4,62.8,49.1
2018/4/21,12.9,65.1,48.2
2018/4/22,13.4,64.1,47.3
2018/4/23,13.7,59.9,54.3
2018/4/24,13.1,68.8,53.6
2018/4/25,14.2,72,53.8
2018/4/26,14.5,71.7,55.2
2018/4/27,14.4,72.2,56.6
2018/4/28,14.3,72.8,58.2
2018/4/29,15.4,71,59.5
2018/4/30,14.8,78.3,60.3
2018/5/2,15.5,83.6,65.2
2018/5/3,15.9,81.2,69.4
2018/5/4,16.4,82.3,73.1
2018/5/5,16.8,86.6,70.1
2018/5/6,16.8,87.4,73.1
2018/5/7,16.4,82.8,75.9
2018/5/8,16.6,92,76
2018/5/9,16.6,96.8,75.9
2018/5/10,16.7,94.7,77.3
2018/5/11,18.8,93.4,80.4
2018/5/12,18.9,96.7,81.9
2018/5/13,16.7,99,86.5
2018/5/14,15.7,102.4,89.4
2018/5/15,16.4,109.7,92.7
2018/5/16,19.5,110.1,97.5
2018/5/17,21.4,113.9,100.5
2018/5/18,21.4,116,102.4
2018/5/19,21.8,123.4,105.2
2018/5/20,23.5,133.6,108.1
2018/5/21,23.6,133.1,112.8
2018/5/22,23.3,142.9,113.7
2018/5/23,24,147,115.2
2018/5/24,24.9,150.8,122
2018/5/25,26.8,152.3,125.9
2018/5/27,27.4,160.5,130
2018/5/28,28.7,163.5,129.6
2018/5/29,28.1,164.3,135.2
2018/5/30,29.8,171.4,139.8
2018/5/31,30.3,174.7,144.2
2018/6/1,32.8,184.6,147.7
2018/6/2,34.3,191.2,151.7
2018/6/3,31.6,194.5,155.9
2018/6/4,34,198,162.9
2018/6/5,33.9,201.4,168.5
2018/6/6,36.3,209.2,172.2
2018/6/7,37.8,220,178
2018/6/8,38.1,222.6,181.4
2018/6/9,37.8,219.2,187.6
2018/6/10,38.4,229,189.7
2018/6/11,38.6,232.2,193.9
2018/6/12,41.7,244.5,196.2
2018/6/13,43.1,250.8,198.9
2018/6/14,42.2,254.9,208.7
2018/6/15,44,267,218.5
2018/6/16,48,287.2,233.3
2018/6/17,50.9,306.9,246.5
2018/6/18,54.2,327,265.5
2018/6/19,59.5,350.7,280.7
2018/6/20,62.2,369.1,295.3
2018/6/21,65.5,391.3,316.4
2018/6/22,69.2,410.4,333.1
2018/6/23,73.2,435.9,349.8
2018/6/24,75.2,451.4,364.8
2018/6/25,79.2,476.5,380.7
2018/6/26,79.9,489.5,397
2018/6/27,84.6,503.3,409.3
2018/6/28,87.9,522.7,426
2018/6/29,90.1,541.5,437.2
2018/6/30,94.5,561,452.8
2018/7/1,98.2,578.8,466.8
2018/7/2,99.6,592.1,481.1
2018/7/3,103.2,603.6,490.5
2018/7/4,105.4,626.1,502.1
2018/7/5,107.6,634.2,512.2
2018/7/6,111.4,652.6,526.3
2018/7/7,113.2,667.6,537.1
2018/7/8,114.5,679.8,548.5
2018/7/9,118.3,697.4,565.1
2018/7/10,121.3,718,576.8
2018/7/11,123.2,727.8,587.5
2018/7/12,125.8,743.8,597.6
2018/7/13,127.3,755.4,612
2018/7/14,130,769.6,622.5
2018/7/15,134,788.1,635.7
2018/7/16,135.9,799.9,645.3
2018/7/17,137.4,813.8,656.3
2018/7/18,139.3,824.1,667.1
2018/7/19,142.7,839.8,678.9
2018/7/20,145.1,854.4,690
2018/7/21,148.9,868.3,701
2018/7/22,148.3,871.5,707.9
2018/7/23,150,885,714.9
2018/7/24,151.2,890.9,728.1
2018/7/25,152.3,900.9,737.4
2018/7/26,155.2,917.6,744.9
2018/7/27,158.6,927.4,755.9
2018/7/28,159.6,940,763.1
2018/7/29,160.1,944,773.6
2018/7/30,164.4,956.2,781.5
2018/7/31,166.5,962.6,789.8
2018/8/1,165.7,975.8,792.4
2018/8/2,166.9,981.6,804.2
2018/8/3,169.4,992.5,809.7
2018/8/4,168.9,994.4,819
2018/8/5,173.5,1013.8,827.2
2018/8/6,173.7,1011.7,836.9
2018/8/7,175.3,1030,838.8
2018/8/8,177.3,1034.9,849.1
2018/8/9,178.3,1049.7,855.4
2018/8/10,180.6,1054,861.9
2018/8/11,182.3,1067.4,866.7
2018/8/12,182.2,1072.7,872.7
2018/8/13,184,1083.4,877.9
2018/8/14,184.5,1089.3,886.1
2018/8/15,185.5,1090,893.8
2018/8/16,187.9,1106.9,901.6
2018/8/17,189.5,1110.2,905.6
2018/8/18,190.3,1119.4,912.7
2018/8/19,192,1127.6,919.3
2018/8/20,192,1134.5,924.9
2018/8/21,194,1145.3,930.8
2018/8/22,197.7,1151.4,936.6
2018/8/23,197.8,1158.8,942
2018/8/24,199,1167.4,953.7
2018/8/25,199.2,1174.9,956.4
2018/8/26,201.2,1184.5,961.1
2018/8/27,201.3,1185.2,968.7
2018/8/28,204.8,1197.1,975.9
2018/8/29,204.1,1197.4,978.9
2018/8/30,205.4,1208.4,982
2018/8/31,204.8,1204.1,990.8
2018/9/1,204.8,1219.4,995.8
2018/9/2,210,1230.7,996.9
2018/9/3,209.8,1232.5,1005.3
2018/9/4,211.9,1239,1007
2018/9/5,211.5,1245.4,1013.2
2018/9/6,214.1,1257.4,1018.1
2018/9/7,214.3,1259.7,1023.2
2018/9/8,215.5,1266.6,1026.9
2018/9/9,217.5,1275.7,1031.8
2018/9/10,218.1,1277.2,1036.9
2018/9/11,218.7,1285.4,1043.8
2018/9/12,219.5,1289.8,1048.3
2018/9/13,220.2,1297,1054.2
2018/9/14,221.9,1300.9,1057.3
2018/9/15,222.8,1309.4,1062.5
2018/9/16,224,1317.5,1068
2018/9/17,225.1,1321.8,1073.4
2018/9/18,223.5,1315.1,1081.7
2018/9/19,226.9,1332.4,1081.6
2018/9/20,227.1,1335.5,1085.9
2018/9/21,228.9,1341.7,1090.9
2018/9/22,230.2,1347.6,1096.4
2018/9/23,231.8,1353.6,1101.7
2018/9/24,232.2,1362,1105.8
2018/9/25,231.3,1360.4,1115.4
2018/9/26,233.7,1370.2,1113.7
2018/9/27,234,1374.5,1116.5
2018/9/28,235.6,1379.7,1123.6
2018/9/29,236.5,1384.7,1125.7
2018/9/30,237.1,1389.3,1130.5
2018/10/1,237.5,1397.3,1135.4
2018/10/2,239.3,1403.7,1139.6
2018/10/3,240.6,1404.3,1144.7
2018/10/4,242.8,1412.5,1145.5
2018/10/5,241.4,1416.5,1150.3
2018/10/6,243.5,1426.3,1154.2
2018/10/7,243.8,1426.8,1161
2018/10/8,243.5,1430.7,1162.5
2018/10/9,243.5,1434.2,1166.4
2018/10/10,246,1440.3,1168.9
2018/10/11,246.4,1440.2,1179.3
2018/10/12,248.9,1449.6,1182.2
2018/10/13,248.2,1447.7,1189.7
2018/10/14,250.1,1461.1,1189.1
2018/10/15,251.1,1465.1,1193.3
2018/10/16,251,1470,1198.1
2018/10/17,252.5,1477.4,1200.9
2018/10/18,252.2,1478.4,1202.8
2018/10/19,253,1480.1,1207.6
2018/10/20,253.1,1479.6,1212.2
2018/10/21,254.8,1491.2,1213.6
2018/10/22,253.9,1494.3,1215.7
2018/10/23,254.2,1498.6,1218.2
2018/10/24,257.4,1505,1227
