¹Û²âÈÕÆÚ,¦¤X,¦¤Y,¦¤H
2018/4/1,-0.300000002,1.3,0.1
2018/4/2,-1,12.5,4.4
2018/4/3,2.799999998,16.5,8.7
2018/4/4,4.599999998,19.1,10.9
2018/4/5,7.399999999,22.4,14.2
2018/4/6,3.699999999,25.3,17
2018/4/7,2.499999999,29.7,13.7
2018/4/8,0.099999999,33.3,13.5
2018/4/9,-1.700000001,37.3,11.8
2018/4/10,0.199999999,41.1,14.9
2018/4/11,3.799999999,40.1,19.1
2018/4/12,4.7,41.6,20.4
2018/4/13,5.2,45.3,21.1
2018/4/14,4.499999999,50,23
2018/4/15,4.4,54.2,24.3
2018/4/16,5.899999998,56.4,25.4
2018/4/17,6.599999999,59.6,26.6
2018/4/18,5.799999999,63.5,29.1
2018/4/19,5.799999999,67,31
2018/4/20,5.4,70.7,33.2
2018/4/21,6.399999998,71.3,33.8
2018/4/22,6.7,73.4,35.2
2018/4/23,7.099999999,75.5,35.4
2018/4/24,7.699999998,78.6,36.6
2018/4/25,7.699999998,80,37.7
2018/4/26,8,82.3,38.6
2018/4/27,8.3,85.3,40.3
2018/4/28,7.599999999,88.6,39.6
2018/4/29,7.399999999,92.8,40.3
2018/4/30,8.399999999,91.3,42.6
2018/5/2,9.199999999,94.7,45
2018/5/3,9.899999999,91.9,46.8
2018/5/4,11.8,92.6,47.6
2018/5/5,10.3,103.9,47.8
2018/5/6,10.5,100.4,48.8
2018/5/7,11,107.7,50
2018/5/8,9.499999998,110.8,50.3
2018/5/9,11.7,110.8,51.5
2018/5/10,12.8,115.4,53.8
2018/5/11,11.9,114.7,53.9
2018/5/12,12.7,116.9,55.1
2018/5/13,12.3,117,55.2
2018/5/14,13.3,119.3,56.5
2018/5/15,13.6,120.5,57.2
2018/5/16,12.7,125.4,57.5
2018/5/17,12.4,128.4,58
2018/5/18,13.8,126.8,59.6
2018/5/19,14.4,127.5,60.7
2018/5/20,15.4,127,62.1
2018/5/21,13.5,130.9,61.4
2018/5/23,14.7,134.9,63.8
2018/5/24,14.5,137.6,64.4
2018/5/25,14.8,136.9,64.9
2018/5/27,16.1,140,66.3
2018/5/28,18,142.7,68.4
2018/5/29,16.6,143.3,68.1
2018/5/30,17.3,147.8,70.6
2018/5/31,16.9,150.8,69.2
2018/6/1,16.8,151.5,71.9
2018/6/2,16.6,153.3,72.6
2018/6/3,17.9,151.6,72.3
2018/6/4,18.5,151.6,72.5
2018/6/5,18.9,156.4,74.3
2018/6/6,19.4,158.8,75.3
2018/6/7,19.9,159.4,76.6
2018/6/8,20.4,160.9,77.8
2018/6/9,20.9,161.9,79.1
2018/6/10,21,166.3,79.4
2018/6/11,21.3,169,80.2
2018/6/12,21.5,172.5,80.8
2018/6/13,21.8,175.2,81.2
2018/6/14,24,174.5,84
2018/6/15,26.3,176.3,87
2018/6/16,28.6,176.8,89.9
2018/6/17,27.5,180.1,90.1
2018/6/18,28.8,184.1,93.2
2018/6/19,28.2,184.7,92.8
2018/6/20,28.6,187.2,94.3
2018/6/21,28.9,188.7,95.4
2018/6/22,30,191.5,97.3
2018/6/23,29.6,190.7,96.3
2018/6/24,30,191.7,96.8
2018/6/25,30.3,194.3,98.2
2018/6/26,30.8,195.4,97.7
2018/6/27,30.7,197.5,100.3
2018/6/28,30.9,199.1,101.4
2018/6/29,31.5,200.3,101.3
2018/6/30,31.9,201.7,101.8
2018/7/1,32.9,203.8,102.6
2018/7/2,33.6,205.5,103.3
2018/7/3,32.5,207.1,105.3
2018/7/4,32.3,208.7,106.7
2018/7/5,33.8,209.4,106.2
2018/7/6,34.5,210.5,106.7
2018/7/7,34.4,213.1,107.7
2018/7/8,34.7,214.9,108.5
2018/7/9,34.8,217.1,109.4
2018/7/10,35,219.1,110.3
2018/7/11,35.1,219.1,111.2
2018/7/12,35.3,220.1,112.1
2018/7/13,35.5,220.6,113
2018/7/14,35.7,223.5,114
2018/7/15,35.9,225.2,115
2018/7/16,36,227.3,115.8
2018/7/17,36.2,229.2,116.7
2018/7/18,36.5,230.3,117.2
2018/7/19,36.8,231.8,117.9
2018/7/20,37.1,233.1,118.5
2018/7/21,35.5,230.1,117.1
2018/7/22,35.3,232.2,116.7
2018/7/23,38.3,237.3,120.3
2018/7/24,39.3,240,122.1
2018/7/25,38.6,239.7,122.8
2018/7/26,38.8,240.9,124.1
2018/7/27,38.6,243.5,123.6
2018/7/28,38.6,245.4,124
2018/7/29,38.6,246.6,125.6
2018/7/30,38.6,248.1,126.6
2018/7/31,38.6,249.7,127.5
2018/8/1,38.6,251.2,128.5
2018/8/2,39.1,251.2,128.5
2018/8/3,39.4,251.9,129
2018/8/4,39.5,253.5,129.5
2018/8/5,39.7,254.6,130
2018/8/6,39.3,258.4,131.1
2018/8/7,39.2,260.8,131.9
2018/8/8,40.2,258.2,132.8
2018/8/9,40.7,263.1,133.7
2018/8/10,39.8,264.3,133.4
2018/8/11,39.6,267.3,133.7
2018/8/12,39.1,269.4,133.7
2018/8/13,41,266.6,135.4
2018/8/14,41.7,266.2,136.3
2018/8/15,41.4,268.2,136.1
2018/8/16,41.6,269,136.5
2018/8/17,41.6,270.4,136.6
2018/8/18,41.7,271.5,136.9
2018/8/19,41.8,272.7,137.1
2018/8/20,42,274,139.8
2018/8/21,42.2,275.2,141.3
2018/8/22,41.4,276.1,141.3
2018/8/23,41.1,277.1,142.1
2018/8/24,41.9,278.8,142.5
2018/8/25,42.2,281.4,142.4
2018/8/26,42.8,283.5,142.6
2018/8/27,41.8,286,143.4
2018/8/28,41.6,288.3,143.9
2018/8/29,41.9,287.8,145
2018/8/30,42,288.7,145.8
2018/8/31,43.1,287.8,145.5
2018/9/1,43.7,287.8,145.8
2018/9/2,44.6,287.3,145.8
2018/9/3,43.2,290.7,147
2018/9/4,43,292.1,147.6
2018/9/5,43.8,293,149.1
2018/9/6,44.1,294.1,150.2
2018/9/7,43.5,296.2,149.1
2018/9/8,43.4,297.8,149.1
2018/9/9,44.1,298.3,150.2
2018/9/10,44.4,299.3,150.8
2018/9/11,44.3,300.3,151.7
2018/9/12,44.4,301.3,152.5
2018/9/13,44.2,305.7,153
2018/9/14,44.2,308.4,153.7
2018/9/15,45.3,305.9,154.2
2018/9/16,45.9,306,154.8
2018/9/17,46.8,308.8,155.4
2018/9/18,44.5,313,155.5
2018/9/19,43.8,316.5,155.9
2018/9/20,45.4,313.4,157.1
2018/9/21,45.9,313.6,157.9
2018/9/22,46.2,315.6,158.4
2018/9/23,46.6,316.7,159.1
2018/9/24,47,318.2,159.7
2018/9/25,46.1,318.6,160.1
2018/9/26,45.9,319.5,160.6
2018/9/27,45.4,322.1,161.1
2018/9/28,46,325.4,162.5
2018/9/29,46.1,328.3,163.5
