¹Û²âÈÕÆÚ,¦¤X,¦¤Y,¦¤H
2018/4/1,1.3,1.1,1.2
2018/4/2,3.9,13.5,28.5
2018/4/3,-0.700000001,17.2,32
2018/4/4,-2.3,19.6,34.4
2018/4/5,-5.4,22.6,37.4
2018/4/6,-7.7,25.3,40.1
2018/4/7,-4.700000001,29.6,40.3
2018/4/8,-4.300000001,33.1,41.8
2018/4/9,-2.600000002,37,42.7
2018/4/10,-1.5,40.7,43.9
2018/4/11,-6.200000002,46.3,49.7
2018/4/12,-7.7,51.4,53.1
2018/4/13,-8.400000001,53.3,54.8
2018/4/14,-6.700000002,56.3,56
2018/4/15,-6.200000002,58.7,57.5
2018/4/16,-6.9,59.8,60
2018/4/17,-7.000000001,61.5,62
2018/4/18,-7.4,65,63.9
2018/4/19,-7.600000001,67.6,65.9
2018/4/20,-7.900000001,70.6,67.9
2018/4/21,-8.600000001,76.8,73.3
2018/4/22,-9.100000001,81.4,77
2018/4/23,-9.100000001,80.5,75.7
2018/4/24,-9.400000001,83.2,77.5
2018/4/25,-9.600000001,83.2,77.8
2018/4/26,-9.700000001,82.6,77.2
2018/4/27,-9.900000001,82.1,77
2018/4/28,-10.4,87.6,78.6
2018/4/29,-10.8,90.9,79.9
2018/4/30,-9.800000002,88.7,81.7
2018/5/2,-9,92.7,83.9
2018/5/3,-6.300000001,96.6,88.4
2018/5/4,-6.500000001,99.7,92.2
2018/5/5,-7.500000002,98.2,86.6
2018/5/6,-5.000000001,98.8,88.3
2018/5/7,-9,102.5,91.1
2018/5/8,-10.2,102.3,90.7
2018/5/9,-9.2,99.8,89.1
2018/5/10,-9.5,106.6,94.1
2018/5/11,-8.100000001,103.3,92.1
2018/5/12,-5.500000001,103.6,92.6
2018/5/13,-10.3,102.4,92
2018/5/14,-8.600000001,103.7,93.1
2018/5/15,-10.1,103.7,93.4
2018/5/16,-8.500000002,105.8,92.5
2018/5/17,-8.400000001,106.8,92.2
2018/5/18,-15.6,101.6,92.7
2018/5/19,-19.1,99.5,92.8
2018/5/20,-24.4,95.8,93.1
2018/5/21,-18.8,104.9,90.3
2018/5/23,-17.2,112.3,98.9
2018/5/24,-14.7,118.3,101.3
2018/5/25,-20.9,112.4,100
2018/5/27,-21.1,114.8,100.8
2018/5/28,-17.7,116.8,100.3
2018/5/29,-21,114.8,101.7
2018/5/30,-20.8,120.1,102.5
2018/5/31,-23.2,122.3,103.8
2018/6/1,-20.3,116.3,102.4
2018/6/2,-20,114.4,102.4
2018/6/3,-20.4,118.2,103.4
2018/6/4,-20.4,119.1,103.9
2018/6/5,-21.2,121.6,104.4
2018/6/6,-21.6,123.3,104.9
2018/6/7,-23.5,121.9,107.3
2018/6/8,-24.6,122,108.8
2018/6/9,-26.1,121.3,110.8
2018/6/10,-23.8,125.1,108.5
2018/6/11,-23.4,126.6,108.4
2018/6/12,-22,129.2,107.2
2018/6/13,-21.1,131.3,106.7
2018/6/14,-23.9,127.3,107.9
2018/6/15,-25.6,125.5,107.3
2018/6/16,-27.8,122.6,107.6
2018/6/17,-22.9,126.8,108.2
2018/6/18,-19.9,128.1,109.2
2018/6/19,-23.2,126.6,108.4
2018/6/20,-23.3,125.2,111.1
2018/6/21,-23.5,127.7,105.4
2018/6/22,-19.2,131.3,107.1
2018/6/23,-24.9,127.9,110.1
2018/6/24,-25.6,128,112.5
2018/6/25,-24.6,131.9,113.7
2018/6/26,-27,132.1,115.8
2018/6/27,-24.9,129,111.7
2018/6/28,-25,127.5,110.7
2018/6/29,-22.9,125.8,112.8
2018/6/30,-23.9,130.6,111.7
2018/7/1,-26.2,132.9,112.4
2018/7/2,-27.8,136.4,112.2
2018/7/3,-25.3,132.8,114.5
2018/7/4,-24.8,132.7,115.6
2018/7/5,-27.5,134.4,114.2
2018/7/6,-28.6,135.2,114.1
2018/7/7,-25.3,134.3,115.3
2018/7/8,-24.2,134.2,115.9
2018/7/9,-22,133.7,116.8
2018/7/10,-23,134.5,115.8
2018/7/11,-24.7,136.2,115.2
2018/7/12,-26,137.4,114.4
2018/7/13,-27.5,138.8,113.7
2018/7/14,-25.2,140.6,119.4
2018/7/15,-24.8,142.2,121.9
2018/7/16,-23.5,141.9,116.4
2018/7/17,-22.6,142.5,114.9
2018/7/18,-25.6,142.6,119.7
2018/7/19,-26.6,142.9,121.4
2018/7/20,-28.6,143.1,122.1
2018/7/21,-26.5,143.5,120.3
2018/7/22,-26.4,143.8,119.8
2018/7/23,-26.1,143.8,120.7
2018/7/24,-25.5,144.9,121.6
2018/7/25,-26.6,146.1,123.1
2018/7/26,-26.8,147.2,124.3
