¹Û²âÈÕÆÚ,¦¤X,¦¤Y,¦¤H
2018/4/1,-0.5,0.1,3.6
2018/4/2,-1.6,-0.6,9.9
2018/4/3,-1.899999999,3.3,3.8
2018/4/4,-2.3,5.3,2.6
2018/4/5,-2.6,8.2,-1
2018/4/6,-2.899999999,10.6,5.6
2018/4/7,-2.199999999,9.7,7.8
2018/4/8,-1.999999999,10.4,12.2
2018/4/9,-1.5,10.3,15.5
2018/4/10,-1.099999999,10.6,14.4
2018/4/11,-2.199999999,12.3,11
2018/4/12,-2.499999999,13.1,11
2018/4/13,-2.6,13.5,11
2018/4/14,-1,12.5,4.6
2018/4/15,-0.199999999,12.2,1.4
2018/4/16,0.700000001,15.2,6.7
2018/4/17,1.600000001,16.5,7.8
2018/4/18,-2.3,16,8.2
2018/4/19,-3.799999999,16.4,9
2018/4/20,-6.5,16.3,9.6
2018/4/21,-1.6,18.9,10.4
2018/4/22,-0.5,20.1,11.1
2018/4/23,-2.999999999,20.1,10
2018/4/24,-3.999999999,21,10.3
2018/4/25,-2.499999999,21.8,9.9
2018/4/26,-3.1,22.3,10.9
2018/4/27,-2.3,23.3,11.4
2018/4/28,-2.199999999,22.7,13.9
2018/4/29,-1.6,22.6,15.9
2018/4/30,-3.4,24.2,13.9
2018/5/2,-3.6,26.6,16.5
2018/5/3,-4.4,28.1,16.8
2018/5/4,-5.499999999,29.2,20.5
2018/5/5,-2.6,26.1,16.6
2018/5/6,-1.899999999,27.8,17.9
2018/5/7,-2.499999999,27.4,16
2018/5/8,-1.399999999,28.4,18.5
2018/5/9,-2.999999999,27.1,19.9
2018/5/10,-3.699999999,26.6,23.8
2018/5/11,-4.6,26.9,-2.1
2018/5/12,-5.999999999,27.8,16.2
2018/5/13,-2.999999999,30.3,19.8
2018/5/14,-3.199999999,29.4,20.2
2018/5/15,-1.8,30.2,22.2
2018/5/16,-3.499999999,29.9,21.6
2018/5/17,-3.6,30.1,22.3
2018/5/18,-4.1,31.4,20.4
2018/5/19,-4.4,32.1,19.8
2018/5/20,-4.799999999,33.1,18.6
2018/5/21,-4.7,32.4,21.4
2018/5/23,-4.999999999,34,22.9
2018/5/24,-4.999999999,34.3,24.4
2018/5/25,-3.4,33.7,24
2018/5/27,-5.1,36.7,24
2018/5/28,-5.2,39.4,25.5
2018/5/29,-6.4,36.5,24.5
2018/5/30,-8.099999999,36.2,25.2
2018/5/31,-6.4,38.5,26.7
2018/6/1,-4.7,37.6,26.3
2018/6/2,-2.999999999,38.3,26.9
2018/6/3,-5.4,37.9,24.9
2018/6/4,-5.7,38,24.2
2018/6/5,-5.4,38.8,26.8
2018/6/6,-5.4,39.2,27.8
2018/6/7,-5.2,38.7,27.6
2018/6/8,-5.1,38.6,28
2018/6/9,-4.9,38.3,28.1
2018/6/10,-6.4,39.9,29.7
2018/6/11,-7,40.5,30.6
2018/6/12,-8,41.6,31.9
2018/6/13,-8.7,42.9,32.9
2018/6/14,-9.399999999,40.6,29.7
2018/6/15,-10.6,39.6,28.7
2018/6/16,-11.5,37.9,26.6
2018/6/17,-7.299999999,44.1,30.8
2018/6/18,-3.699999999,48.9,33.1
2018/6/19,-7.899999999,44.7,33.2
2018/6/20,-5.499999999,45.5,35.2
2018/6/21,-8.399999999,46.9,33.6
2018/6/22,-8.7,48.4,36.5
2018/6/23,-8.599999999,46.6,33.5
2018/6/24,-8.7,46.4,33.5
2018/6/25,-8.099999999,49.5,39.4
2018/6/26,-7.399999999,50.4,40.9
2018/6/27,-9.3,49.6,35.1
2018/6/28,-9.8,49.6,33
2018/6/29,-9.099999999,50.6,36.3
2018/6/30,-8.8,51.9,36.9
2018/7/1,-9.699999999,51.3,37.5
2018/7/2,-10,51.6,38.1
2018/7/3,-13.4,50.8,40.9
2018/7/4,-12.2,50.5,42.6
2018/7/5,-9.599999999,54.1,39
2018/7/6,-7.7,55.7,38.1
2018/7/7,-12.6,53.9,40.2
2018/7/8,-14.1,53.8,40.8
2018/7/9,-17.3,52.8,42.2
2018/7/10,-14.4,54.8,41.6
2018/7/11,-12.1,56.4,42.3
2018/7/12,-9.5,58.2,42.4
2018/7/13,-10.7,58.2,43
2018/7/14,-11.2,59.6,42.6
2018/7/15,-12,60.3,42.7
2018/7/16,-11.9,59.4,43
2018/7/17,-12.2,59.3,43.2
2018/7/18,-12.6,60.6,42.6
2018/7/19,-12.9,61.2,42.4
2018/7/20,-13.2,62.1,42
2018/7/21,-12.6,61.7,45.8
2018/7/22,-12.4,61.9,47.5
2018/7/23,-13.4,62.4,46.9
2018/7/24,-13.8,62.7,47.6
2018/7/25,-14.2,63.7,46.3
2018/7/26,-12.9,64.8,46.5
2018/7/27,-14.4,63,48.4
2018/7/28,-14.5,62.6,49.5
2018/7/29,-14.2,64.7,48.2
2018/7/30,-14.1,65.5,48.1
2018/7/31,-15.9,67.1,49
2018/8/1,-16.7,68.3,49.4
2018/8/2,-14.9,66,50.2
2018/8/3,-14.4,66.9,50.8
2018/8/4,-14.3,67.8,50.9
2018/8/5,-14,69.5,51.3
2018/8/6,-14.7,70.7,51.1
2018/8/7,-14.9,72.1,51.2
2018/8/8,-14.9,71.2,52.3
2018/8/9,-15,71.4,52.9
2018/8/10,-17.5,71.1,53.1
2018/8/11,-18.8,71,53.5
2018/8/12,-20.7,70.8,53.8
2018/8/13,-16.2,71.2,53.5
2018/8/14,-14.9,71.3,53.5
2018/8/15,-15.6,72.5,53.5
2018/8/16,-15.3,73.1,53.5
2018/8/17,-15.5,74,53.5
2018/8/18,-15.4,74.7,53.5
2018/8/19,-15.4,75.5,53.5
2018/8/20,-16,74,56.5
2018/8/21,-16.3,73.6,58
2018/8/22,-16.7,72.6,60.3
2018/8/23,-17,71.9,62.2
2018/8/24,-17.6,73.2,59.8
2018/8/25,-15.9,75.5,56.2
2018/8/26,-15.3,77.3,53.2
2018/8/27,-18.2,78.1,57.1
2018/8/28,-19.3,79.4,57.6
2018/8/29,-18.8,78,58.3
2018/8/30,-19.1,77.9,58.9
2018/8/31,-17.3,77.8,59.1
2018/9/1,-16.5,77.7,59.5
2018/9/2,-15.2,77.6,59.8
2018/9/3,-17.6,81,57
2018/9/4,-18.1,82.6,55.8
2018/9/5,-18.4,80.8,60.3
2018/9/6,-18.8,80.7,62
2018/9/7,-19.7,80.6,61.3
2018/9/8,-20.3,80.5,61.8
2018/9/9,-17.9,84.2,62
2018/9/10,-17,86,62.4
2018/9/11,-20.8,83.2,62.5
2018/9/12,-22.2,82.7,62.8
2018/9/13,-19.4,84.7,62.5
2018/9/14,-18.7,85.4,62.5
2018/9/15,-19.1,85,64.5
2018/9/16,-18.9,85.1,65.5
2018/9/17,-19,84.9,67
2018/9/18,-20,86.2,65.6
2018/9/19,-20.5,86.7,65.7
2018/9/20,-21.1,88.3,63.4
2018/9/21,-21.6,89.3,62.3
2018/9/22,-19.6,87.3,65.2
2018/9/23,-18.8,86.8,66.1
2018/9/24,-17.4,85.5,68
2018/9/25,-20.5,90.3,68.7
2018/9/26,-21.3,92,70
2018/9/27,-23.2,93.2,71
2018/9/28,-21.4,88.7,67.8
2018/9/29,-21.4,89,66.7
2018/9/30,-21.2,92.4,69.4
2018/10/1,-21.1,94.2,70.2
2018/10/2,-20.9,96.8,72
2018/10/3,-21.7,93.7,71.6
2018/10/4,-22,93.4,72.3
2018/10/5,-22.5,91.7,72.5
2018/10/6,-20.9,90.7,73
2018/10/7,-16.9,93.4,72.2
2018/10/8,-17.1,94.2,72.1
2018/10/9,-20.9,94.7,72
2018/10/10,-22.9,95.3,71.9
2018/10/11,-20.9,93.1,73.5
2018/10/12,-20.1,93.9,72
2018/10/13,-22.9,95.1,74.7
2018/10/14,-22,94.6,73.4
2018/10/15,-22.1,95.9,74.1
2018/10/16,-21.1,95.5,74.1
2018/10/17,-21.1,95.6,73.9
2018/10/18,-20.9,94.8,74.7
2018/10/19,-22.3,95,74.9
2018/10/20,-23,96.9,75.5
2018/10/21,-21.7,97.8,75.9
2018/10/22,-23.5,99,76.4
2018/10/23,-24.6,100.4,77.3
2018/10/24,-25.1,97.5,77.7
2018/10/25,-25.9,96.7,78.4
2018/10/26,-23.9,98.5,77.7
2018/10/27,-23.3,99,77.7
2018/10/28,-23.7,99.8,80.8
2018/10/29,-23.6,100.4,82.4
2018/10/30,-24.3,100.9,80.7
2018/10/31,-24.6,101.45,80.65
2018/11/1,-26,101.9,81.9
2018/11/2,-26.8,102.4,82.5
2018/11/3,-25.3,101.6,82.6
2018/11/4,-24.9,101.4,83
2018/11/5,-27.2,100.3,81.9
2018/11/6,-28.1,99.6,81.6
2018/11/7,-29.7,99.7,80.9
2018/11/8,-28.8,104.5,83.3
2018/11/9,-29.1,106.9,84.2
2018/11/10,-28.8,107.5,85.9
2018/11/11,-28.5,104.3,85.1
2018/11/12,-28.2,103,85.6
2018/11/13,-27.9,103.7,85.5
2018/11/14,-27.2,106.8,86.9
2018/11/15,-26.7,108.7,87.6
2018/11/16,-29.8,105.2,83
2018/11/17,-31.1,104.4,81.1
2018/11/18,-33.3,102.2,77.9
2018/11/19,-33,103.7,84.4
2018/11/20,-29,107.5,87.5
2018/11/21,-26.8,110.1,92.3
2018/11/22,-28.8,109.8,88.2
2018/11/23,-28.7,110.9,88.6
2018/11/24,-28.3,111.3,87
2018/11/25,-28,112,86.4
2018/11/26,-29.7,110.5,89.2
