ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,date,sum_xy,,
2018/4/2,-28.08948285,13.19050199,19.65143003,-28.08948285,-28.08948285,44.44704175,44.44704175,44.44704175,0.011840532,0.011840532,0.011840532,44.43520122,44.43520122,44.43520122,0,0,0,16.3575589,2018/4/2,12.66964877,,
2018/4/3,-24.41128048,16.58368203,23.01226385,-24.41128048,-24.41128048,44.20759096,44.20759096,44.20759096,-0.033205421,-0.033205421,-0.033205421,44.24079638,44.24079638,44.24079638,0,0,0,19.79631048,2018/4/3,18.57303763,,
2018/4/4,-20.73307811,20.0684396,26.71919759,-20.73307811,-20.73307811,44.00815787,44.00815787,44.00815787,-0.104589365,-0.104589365,-0.104589365,44.11274723,44.11274723,44.11274723,0,0,0,23.27507976,2018/4/4,21.45747865,,
2018/4/5,-17.05487575,23.7801265,30.17522934,-17.05487575,-17.05487575,43.99729479,43.99729479,43.99729479,-0.048884656,-0.048884656,-0.048884656,44.04617945,44.04617945,44.04617945,0,0,0,26.94241905,2018/4/5,25.77140957,,
2018/4/6,-13.37667338,27.47439339,33.76111161,-13.37667338,-13.37667338,44.08907588,44.08907588,44.08907588,0.054602161,0.054602161,0.054602161,44.03447371,44.03447371,44.03447371,0,0,0,30.7124025,2018/4/6,29.31823914,,
2018/4/7,-9.69847101,31.06341793,38.08808796,-9.69847101,-9.69847101,44.07994592,44.07994592,44.07994592,0.010490173,0.010490173,0.010490173,44.06945574,44.06945574,44.06945574,0,0,0,34.38147491,2018/4/7,34.56132983,,
2018/4/8,-6.020268643,34.85798505,41.59147745,-6.020268643,-6.020268643,44.25137473,44.25137473,44.25137473,0.109746576,0.109746576,0.109746576,44.14162816,44.14162816,44.14162816,0,0,0,38.23110609,2018/4/8,38.08411282,,
2018/4/9,-2.342066275,38.33702311,45.19844888,-2.342066275,-2.342066275,44.25227911,44.25227911,44.25227911,0.011840532,0.011840532,0.011840532,44.24043857,44.24043857,44.24043857,0,0,0,41.91021283,2018/4/9,42.3385223,,
2018/4/10,1.336136092,42.28204877,48.86979658,1.336136092,1.336136092,44.32137171,44.32137171,44.32137171,-0.033205421,-0.033205421,-0.033205421,44.35457713,44.35457713,44.35457713,0,0,0,45.65750781,2018/4/10,46.19857411,,
2018/4/11,5.01433846,45.85187339,52.76051359,5.01433846,5.01433846,44.36770645,44.36770645,44.36770645,-0.104589365,-0.104589365,-0.104589365,44.47229582,44.47229582,44.47229582,0,0,0,49.38204491,2018/4/11,53.50952481,,
2018/4/12,8.692540828,50.1031709,56.33076892,8.692540828,8.692540828,44.53285652,44.53285652,44.53285652,-0.048884656,-0.048884656,-0.048884656,44.58174118,44.58174118,44.58174118,0,0,0,53.22539735,2018/4/12,58.82553835,,
2018/4/13,12.3707432,53.70847422,60.33829254,12.3707432,12.3707432,44.72589394,44.72589394,44.72589394,0.054602161,0.054602161,0.054602161,44.67129178,44.67129178,44.67129178,0,0,0,57.09663714,2018/4/13,60.85038402,,
2018/4/14,16.04894556,57.82157192,64.26180969,16.04894556,16.04894556,44.74038135,44.74038135,44.74038135,0.010490173,0.010490173,0.010490173,44.72989118,44.72989118,44.72989118,0,0,0,60.78932692,2018/4/14,64.29857195,,
2018/4/15,19.72714793,61.36388545,67.74708058,19.72714793,19.72714793,44.85711419,44.85711419,44.85711419,0.109746576,0.109746576,0.109746576,44.74736761,44.74736761,44.74736761,0,0,0,64.58426212,2018/4/15,66.75010209,,
2018/4/16,23.4053503,64.75654776,71.51384264,23.4053503,23.4053503,44.72657202,44.72657202,44.72657202,0.011840532,0.011840532,0.011840532,44.71473149,44.71473149,44.71473149,0,0,0,68.13192232,2018/4/16,68.05394257,,
