ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,date,sum_xy,,
2017/3/14,426.7657861,-120.3805731,142.2767175,426.7657861,426.7657861,-416.9067804,-416.9067804,-416.9067804,-1.274277413,-1.274277413,-1.274277413,-415.6325029,-415.6325029,-415.6325029,0,0,0,9.859005797,2017/3/14,0.852536216,,
2017/3/15,441.2747845,-124.7755249,139.6960889,441.2747845,441.2747845,-427.4969242,-427.4969242,-427.4969242,1.09654402,1.09654402,1.09654402,-428.5934682,-428.5934682,-428.5934682,0,0,0,13.77786033,2017/3/15,1.607626277,,
2017/3/16,455.7837829,-121.565944,150.5335273,455.7837829,455.7837829,-443.0769142,-443.0769142,-443.0769142,-1.300729432,-1.300729432,-1.300729432,-441.7761847,-441.7761847,-441.7761847,0,0,0,12.70686868,2017/3/16,3.638666405,,
2017/3/17,470.2927812,-117.9010297,147.4096744,470.2927812,470.2927812,-457.2471694,-457.2471694,-457.2471694,-2.093899262,-2.093899262,-2.093899262,-455.1532701,-455.1532701,-455.1532701,0,0,0,13.04561184,2017/3/17,8.265376899,,
2017/3/18,484.8017796,-116.0962191,145.9354325,484.8017796,484.8017796,-470.181561,-470.181561,-470.181561,-1.48973613,-1.48973613,-1.48973613,-468.6918249,-468.6918249,-468.6918249,0,0,0,14.62021852,2017/3/18,10.73133108,,
2017/3/19,499.3107779,-116.7119359,154.056277,499.3107779,499.3107779,-479.9406886,-479.9406886,-479.9406886,2.413788619,2.413788619,2.413788619,-482.3544772,-482.3544772,-482.3544772,0,0,0,19.37008928,2017/3/19,12.34336644,,
2017/3/20,513.8197763,-117.1726799,153.296029,513.8197763,513.8197763,-493.4522596,-493.4522596,-493.4522596,2.648309598,2.648309598,2.648309598,-496.1005692,-496.1005692,-496.1005692,0,0,0,20.36751669,2017/3/20,12.97294169,,
2017/3/21,528.3287746,-122.372091,148.7438012,528.3287746,528.3287746,-511.1617275,-511.1617275,-511.1617275,-1.274277413,-1.274277413,-1.274277413,-509.8874501,-509.8874501,-509.8874501,0,0,0,17.16704712,2017/3/21,13.16515251,,
2017/3/22,542.3638216,-106.9083987,163.1985309,542.3638216,542.3638216,-522.5752943,-522.5752943,-522.5752943,1.09654402,1.09654402,1.09654402,-523.6718383,-523.6718383,-523.6718383,0,0,0,19.78852737,2017/3/22,13.35736333,,
2017/3/23,556.3988686,-120.2697909,160.2505401,556.3988686,556.3988686,-538.7119388,-538.7119388,-538.7119388,-1.300729432,-1.300729432,-1.300729432,-537.4112094,-537.4112094,-537.4112094,0,0,0,17.68692981,2017/3/23,15.09374693,,
2017/3/24,570.4339157,-121.0447466,155.4626868,570.4339157,570.4339157,-553.159069,-553.159069,-553.159069,-2.093899262,-2.093899262,-2.093899262,-551.0651697,-551.0651697,-551.0651697,0,0,0,17.27484668,2017/3/24,15.84510903,,
2017/3/25,584.4689627,-105.2129194,161.2491257,584.4689627,584.4689627,-566.086508,-566.086508,-566.086508,-1.48973613,-1.48973613,-1.48973613,-564.5967719,-564.5967719,-564.5967719,0,0,0,18.38245466,2017/3/25,20.50598555,,
2017/3/26,598.5040097,-110.6293985,161.0746302,598.5040097,598.5040097,-575.5599441,-575.5599441,-575.5599441,2.413788619,2.413788619,2.413788619,-577.9737327,-577.9737327,-577.9737327,0,0,0,22.94406557,2017/3/26,22.47595535,,
2017/3/27,612.5390567,-106.5487773,158.7557021,612.5390567,612.5390567,-588.5212051,-588.5212051,-588.5212051,2.648309598,2.648309598,2.648309598,-591.1695147,-591.1695147,-591.1695147,0,0,0,24.01785159,2017/3/27,23.82977144,,
2017/3/28,626.2971063,-122.8214596,165.9947792,626.2971063,626.2971063,-605.4385141,-605.4385141,-605.4385141,-1.274277413,-1.274277413,-1.274277413,-604.1642367,-604.1642367,-604.1642367,0,0,0,20.85859214,2017/3/28,23.98828958,,
2017/3/29,640.0551558,-120.0912848,171.4537788,640.0551558,640.0551558,-615.848841,-615.848841,-615.848841,1.09654402,1.09654402,1.09654402,-616.945385,-616.945385,-616.945385,0,0,0,24.20631484,2017/3/29,24.87723614,,
2017/3/30,653.8132054,-105.7790096,162.602563,653.8132054,653.8132054,-630.8090295,-630.8090295,-630.8090295,-1.300729432,-1.300729432,-1.300729432,-629.5083001,-629.5083001,-629.5083001,0,0,0,23.00417589,2017/3/30,27.24535101,,
2017/3/31,667.571255,-108.3233469,164.3507744,667.571255,667.571255,-643.9503217,-643.9503217,-643.9503217,-2.093899262,-2.093899262,-2.093899262,-641.8564225,-641.8564225,-641.8564225,0,0,0,23.62093328,2017/3/31,27.8411127,,
2017/4/1,681.3293046,-120.2589304,160.9967462,681.3293046,681.3293046,-655.4910233,-655.4910233,-655.4910233,-1.48973613,-1.48973613,-1.48973613,-654.0012872,-654.0012872,-654.0012872,0,0,0,25.83828123,2017/4/1,30.08404338,,
2017/4/2,695.0873541,-119.3939823,167.4545905,695.0873541,695.0873541,-663.5484759,-663.5484759,-663.5484759,2.413788619,2.413788619,2.413788619,-665.9622645,-665.9622645,-665.9622645,0,0,0,31.53887823,2017/4/2,33.5622603,,
2017/4/3,708.8454037,-109.8021919,167.9405418,708.8454037,708.8454037,-675.1177413,-675.1177413,-675.1177413,2.648309598,2.648309598,2.648309598,-677.7660509,-677.7660509,-677.7660509,0,0,0,33.72766239,2017/4/3,34.40475198,,
2017/4/4,722.5048225,-111.8444485,157.7905621,722.5048225,722.5048225,-690.7202012,-690.7202012,-690.7202012,-1.274277413,-1.274277413,-1.274277413,-689.4459238,-689.4459238,-689.4459238,0,0,0,31.78462133,2017/4/4,35.24724365,,
2017/4/5,736.1642413,-106.3783335,170.2850949,736.1642413,736.1642413,-699.9442347,-699.9442347,-699.9442347,1.09654402,1.09654402,1.09654402,-701.0407787,-701.0407787,-701.0407787,0,0,0,36.22000665,2017/4/5,36.08973533,,
2017/4/6,749.8236601,-96.1144805,165.8381948,749.8236601,749.8236601,-713.8947053,-713.8947053,-713.8947053,-1.300729432,-1.300729432,-1.300729432,-712.5939759,-712.5939759,-712.5939759,0,0,0,35.92895479,2017/4/6,37.87427617,,
2017/4/7,763.4830789,-103.4454732,171.5704933,763.4830789,763.4830789,-726.2459276,-726.2459276,-726.2459276,-2.093899262,-2.093899262,-2.093899262,-724.1520283,-724.1520283,-724.1520283,0,0,0,37.23715131,2017/4/7,38.43745731,,
