ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,date,sum_xy,,
2018/4/2,134.2793892,1.993459616,26.55173508,134.2793892,134.2793892,-120.202287,-120.202287,-120.202287,-0.355122665,-0.355122665,-0.355122665,-119.8471643,-119.8471643,-119.8471643,0,0,0,14.07710226,2018/4/2,12.71416533,,
2018/4/3,145.1833668,10.7493924,36.0340315,145.1833668,145.1833668,-121.7947397,-121.7947397,-121.7947397,-0.045797128,-0.045797128,-0.045797128,-121.7489425,-121.7489425,-121.7489425,0,0,0,23.38862711,2018/4/3,24.38678286,,
2018/4/4,156.0873443,19.55515084,45.73947993,156.0873443,156.0873443,-123.4426383,-123.4426383,-123.4426383,0.174109607,0.174109607,0.174109607,-123.6167479,-123.6167479,-123.6167479,0,0,0,32.64470608,2018/4/4,29.98142315,,
2018/4/5,166.9913219,28.98063107,53.827802,166.9913219,166.9913219,-125.4600839,-125.4600839,-125.4600839,-0.000835047,-0.000835047,-0.000835047,-125.4592489,-125.4592489,-125.4592489,0,0,0,41.53123798,2018/4/5,39.58610951,,
2018/4/6,177.8952994,38.96554338,63.39639112,177.8952994,177.8952994,-127.2318512,-127.2318512,-127.2318512,0.055553416,0.055553416,0.055553416,-127.2874046,-127.2874046,-127.2874046,0,0,0,50.66344824,2018/4/6,45.13047602,,
2018/4/7,188.799277,47.36959636,72.00081212,188.799277,188.799277,-129.0176622,-129.0176622,-129.0176622,0.096546801,0.096546801,0.096546801,-129.114209,-129.114209,-129.114209,0,0,0,59.78161476,2018/4/7,51.03386487,,
2018/4/8,199.7032545,56.11425604,80.81456782,199.7032545,199.7032545,-130.8788211,-130.8788211,-130.8788211,0.075545015,0.075545015,0.075545015,-130.9543661,-130.9543661,-130.9543661,0,0,0,68.82443344,2018/4/8,75.60315465,,
2018/4/9,210.6072321,63.52370971,90.66013157,210.6072321,210.6072321,-133.179028,-133.179028,-133.179028,-0.355122665,-0.355122665,-0.355122665,-132.8239053,-132.8239053,-132.8239053,0,0,0,77.42820413,2018/4/9,80.0752906,,
2018/4/10,221.5112097,74.15722243,99.17772082,221.5112097,221.5112097,-134.7855453,-134.7855453,-134.7855453,-0.045797128,-0.045797128,-0.045797128,-134.7397482,-134.7397482,-134.7397482,0,0,0,86.72566433,2018/4/10,95.84488159,,
2018/4/11,232.4151872,82.8739315,107.9616181,232.4151872,232.4151872,-136.54513,-136.54513,-136.54513,0.174109607,0.174109607,0.174109607,-136.7192396,-136.7192396,-136.7192396,0,0,0,95.87005717,2018/4/11,104.445463,,
2018/4/12,243.3191648,91.54739407,117.4925769,243.3191648,243.3191648,-138.7804926,-138.7804926,-138.7804926,-0.000835047,-0.000835047,-0.000835047,-138.7796576,-138.7796576,-138.7796576,0,0,0,104.5386721,2018/4/12,108.1670218,,
2018/4/13,254.2231423,100.880984,125.4116082,254.2231423,254.2231423,-140.8821632,-140.8821632,-140.8821632,0.055553416,0.055553416,0.055553416,-140.9377166,-140.9377166,-140.9377166,0,0,0,113.3409791,2018/4/13,111.9749083,,
2018/4/14,264.869273,108.726283,134.3156106,264.869273,264.869273,-143.1125343,-143.1125343,-143.1125343,0.096546801,0.096546801,0.096546801,-143.2090811,-143.2090811,-143.2090811,0,0,0,121.7567387,2018/4/14,115.6964671,,
2018/4/15,275.5154037,117.0392976,142.697468,275.5154037,275.5154037,-145.5323577,-145.5323577,-145.5323577,0.075545015,0.075545015,0.075545015,-145.6079028,-145.6079028,-145.6079028,0,0,0,129.983046,2018/4/15,121.2534447,,
