date,TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11,TP12,TP13,TP14,TP15,TP16,TP17,TP18,TP19,TP20,TP21,TP22,TP23,TP24,TP25,TP26,TP27,TP28,TP29
2017/12/15,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2017/12/16,-3.2,3.3,3.8,3.5,3.2,0.4,0.9,3.5,-0.2,,,,,,,,,,,,,,,,,,,,
2017/12/17,3.5,4.7,4.4,5.1,4,0.7,1.1,4.3,-0.2,,,,,,,,,,,,,,,,,,,,
2017/12/18,4.6,6.8,6.8,6.8,5.3,0.6,2.5,7.8,7.1,,,,,,,,,,,,,,,,,,,,
2017/12/19,4.5,7.6,7.7,7.7,5.3,0.1,1.2,7.3,7.4,,,,,,,,,,,,,,,,,,,,
2017/12/20,5,9,8.4,9,5.7,-0.6,0.5,7.3,1.2,,,,,,,,,,,,,,,,,,,,
2017/12/21,4.3,9.6,8.3,9.9,5.9,-1.2,-0.5,6.2,2.3,,,,,,,,,,,,,,,,,,,,
2017/12/22,3.8,11.1,9.7,11.3,6.4,-1.5,-0.7,8.4,1.5,,,,,,,,,,,,,,,,,,,,
2017/12/23,5,12.5,10.2,12.8,7.4,-1.3,-0.9,9.4,1.2,,,,,,,,,,,,,,,,,,,,
2017/12/24,4.1,14.8,12.3,15.7,9.8,-0.4,0.7,11.8,1.4,,,,,,,,,,,,,,,,,,,,
2017/12/25,6,16.2,14.4,17.4,11.2,0.5,1.5,18,8.9,,,,,,,,,,,,,,,,,,,,
2017/12/26,6.2,17.8,15.4,18.5,11.6,-0.3,1,13.8,7.6,,,,,,,,,,,,,,,,,,,,
2017/12/27,7.3,19.3,16.3,19.4,11.7,-1.1,0.1,18.2,7.9,,,,,,,,,,,,,,,,,,,,
2017/12/28,8,21.2,18.7,22.3,14,-0.2,1,17.2,10.9,,,,,,,,,,,,,,,,,,,,
2017/12/29,8.7,22.9,20.2,24,15,-0.4,0.9,18.5,11.6,,,,,,,,,,,,,,,,,,,,
2017/12/30,8.4,25.8,21.7,26.9,16.2,0.2,1.2,18.8,9.3,,,,,,,,,,,,,,,,,,,,
2017/12/31,9.2,27.1,23.4,28.1,17.3,-0.3,0.5,20.6,12.7,,,,,,,,,,,,,,,,,,,,
2018/1/1,8.8,29.9,25.7,31.4,19.3,0.8,1.9,22.3,10.9,,,,,,,,,,,,,,,,,,,,
2018/1/2,11,32.4,28.3,33.9,20.5,0,1,23.9,11.7,,,,,,,,,,,,,,,,,,,,
2018/1/3,10.7,35.2,29.9,36.2,21.6,0.8,1,26.6,11,,,,,,,,,,,,,,,,,,,,
2018/1/4,11.4,39.7,34.5,42.9,27.7,4.4,7,30.5,16.9,,,,,,,,,,,,,,,,,,,,
2018/1/5,11.2,42.2,36.6,44.7,27.7,4.3,5.3,34,15.7,,,,,,,,,,,,,,,,,,,,
2018/1/6,10.3,42.3,35.1,42,23,-3.6,-2.5,29.5,10.9,,,,,,,,,,,,,,,,,,,,
2018/1/7,12.9,47.6,40.8,49.1,30.2,3.5,4.6,35.2,18.5,,,,,,,,,,,,,,,,,,,,
2018/1/8,14.3,49.2,42.3,50,30.5,1.8,2.7,35.4,15.5,,,,,,,,,,,,,,,,,,,,
2018/1/9,14.5,52.9,45.7,54.8,33.5,4.4,5.4,38.5,20.1,,,,,,,,,,,,,,,,,,,,
2018/1/10,16.6,55.7,47.3,56.8,33.9,3.3,3.8,40.3,16.9,,,,,,,,,,,,,,,,,,,,
2018/1/11,14.4,57.7,48.7,59,35.8,2.3,3.7,44.5,18.3,,,,,,,,,,,,,,,,,,,,
2018/1/12,15.4,58.8,48.1,58.4,33.1,-2.4,-1,41,17,,,,,,,,,,,,,,,,,,,,
2018/1/13,15.8,63.4,53.2,63.9,37.7,1.1,2.6,45.2,20.6,,,,,,,,,,,,,,,,,,,,
2018/1/14,17.6,66.4,55.6,66.4,39,0.3,1.8,48.7,21.4,,,,,,,,,,,,,,,,,,,,
2018/1/15,18.2,70.5,58.7,71.1,42.1,1.3,2.2,55.6,37.1,,,,,,,,,,,,,,,,,,,,
2018/1/16,19.7,73.9,61.3,73.5,43.1,0.5,1.8,53.7,23.1,,,,,,,,,,,,,,,,,,,,
2018/1/17,19.2,77.2,64.5,77.6,45.1,0.5,1.9,60.2,20.1,,,,,,,,,,,,,,,,,,,,
2018/1/18,20.8,81.3,67.1,81.1,46.9,0.2,1.6,59.8,20.1,,,,,,,,,,,,,,,,,,,,
2018/1/19,21.2,85.1,71.1,85,49.8,0.9,2.6,60.8,21.2,,,,,,,,,,,,,,,,,,,,
2018/1/20,19.1,89.2,73.7,88.5,51.1,0.1,1.4,62.7,20.1,,,,,,,,,,,,,,,,,,,,
2018/1/21,22.6,93.2,78.1,93,53.6,0.6,2.2,65.7,20.1,,,,,,,,,,,,,,,,,,,,
2018/1/22,21.7,96.8,81.3,96.8,55.5,0.3,1.6,67.5,23.2,,,,,,,,,,,,,,,,,,,,
2018/1/23,24.1,100.6,84.4,100.2,57,-0.8,0.4,70.3,19.9,,,,,,,,,,,,,,,,,,,,
2018/1/24,23.9,104.2,87.1,103.6,58.3,-1.8,-0.5,73.3,18.1,,,,,,,,,,,,,,,,,,,,
2018/1/25,23.2,108.7,90.7,108.1,60.3,-2.2,-0.8,76.6,22.1,,,,,,,,,,,,,,,,,,,,
2018/1/26,26,114.4,96,114.6,65.1,0.2,1.8,79.3,23.3,,,,,,,,,,,,,,,,,,,,
2018/1/27,26,119.5,100.6,119.7,68.4,0.6,2.1,82.8,23.2,,,,,,,,,,,,,,,,,,,,
2018/1/28,26.8,124.1,104.8,124.8,70.9,0.7,1.7,88,23.7,,,,,,,,,,,,,,,,,,,,
2018/1/29,29,129,108.8,129.8,73.3,-0.1,1.1,89.1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
2018/1/30,28.5,134.4,113.1,135.5,76.2,-0.8,0.7,94.5,25.9,-2.3,-1.2,1.2,-0.9,3.4,-3.5,-6.7,3.7,2.2,1.9,5.1,0.1,-0.5,4,3.8,,,,,
2018/1/31,30.1,140.3,118.8,142.1,80.8,-0.3,1.3,100.2,27.2,-1.5,-2.6,-0.9,-1.6,9.5,-11.1,-16.2,11,3.1,8.6,14.1,-0.1,-0.2,10.1,7,,,,,
2018/2/1,30,147.1,125,149.5,85.6,0.5,1.8,104.4,26.4,-1.3,-2.4,-4.7,-3.1,15.9,-20.2,-28.9,17.8,3,13.7,23.2,-2.4,0.1,13.4,13.2,,,,,
2018/2/2,31.5,154.4,130.8,157.2,88.1,-0.8,0.9,108.8,26.5,-1.1,-0.4,-0.8,-0.3,22.3,-23,-39,26.4,7.2,20.3,34.2,0.1,-0.5,18.2,18.2,,,,,
2018/2/3,35.6,161.8,137.9,165.2,92.6,-1.5,0.2,115.4,28.1,-0.8,2,4.5,1,30.2,-26.7,-50.2,36.5,11.2,28.4,47.2,2.9,0.6,23.7,23.5,,,,,
2018/2/4,34.2,171.4,146.8,175.7,97.9,-1,0.1,122.3,25,-0.2,2,3.8,2.3,39.6,-34.5,-65.2,48.3,13.1,37.7,61.7,3.5,1.7,30.3,30.5,,,,,
2018/2/5,36.4,183.9,157.5,189,105.6,0,1.3,131.3,25.6,-1.1,3.5,3.2,1.2,50,-44.5,-86.3,58.1,15.3,47.3,78,-1.2,0.5,39.5,39.6,,,,,
2018/2/6,41.3,199.7,172.5,206.7,114.6,0.6,2,144.5,29.6,-0.8,3,1.8,2.8,64.2,-60.5,-110.6,79.6,17.6,61.6,102.7,1.6,1.8,50.8,51.2,,,,,
2018/2/7,45,221.2,191.6,229.5,127.2,-0.3,1.1,159.5,27.4,-0.1,6.3,3.4,6.1,85.3,-77.6,-141,101,23.3,80.2,134.9,1.6,1.2,66.2,66.3,,,,,
2018/2/8,50.6,258.8,225.9,270.8,149.8,0.4,1.9,186.6,27.1,-1.6,3.7,-3.3,6.3,120.5,-119.8,-199.9,145.5,28.1,111.8,192.8,0.4,2.4,94,93.5,,,,,
2018/2/9,61.9,339,302.5,359.9,202.6,0.5,2,249.6,27.9,-1.1,3.3,-1.1,10.4,201.1,-208.8,-319.4,233.9,45.8,184.8,319.4,-0.1,0.7,154.7,153.3,,,,,
2018/2/10,91,566.7,515.7,605.7,337.3,0.7,2.1,419.6,29.7,-0.7,-6.6,-0.4,25.1,442.3,-494.8,-707.2,486.7,97.1,401.6,691.2,-0.4,1.9,323.2,317.9,,,,,
2018/2/11,,1177.1,1082.9,1249.4,689.2,0.4,1.7,812.7,24.1,-1.5,-64.2,-0.5,59.5,1081.2,-1128.2,,,215.9,974.7,1636.8,-0.2,1,764.2,,,,,,
2018/2/12,,1673.6,1572.3,1777.5,926,1.7,3.5,1151,24.7,-0.4,-131,-1.5,109.7,1629.9,-1289.6,,,283,1469.9,2398.2,0.7,-0.1,,,,,,,
2018/2/13,,1989.8,1884.4,2108.3,,0.9,2,1366.5,23.5,-2.7,-194.1,-3.8,147.8,2026.2,-1263.2,,,425.4,1834.2,2821.8,-2.7,-1.7,,,,,,,
2018/2/14,,2175.1,2067.6,2300.4,,1.2,2.3,1489.6,24.1,0.2,-216.1,-3.4,178.4,2230.1,-1310.1,,,550.8,2021.9,3244.5,-0.6,2.3,,,,,,,
2018/2/15,224.5,2301.5,2192.7,2430,,0.8,2.7,1570,23.5,-0.1,-235.7,2.8,202.3,2376,-1376.7,,,645.3,2149.3,3453.1,0.6,2,,,,,,,
