¹Û²âÈÕÆÚ,TP13,TP18,TP29
2018/4/1,10.58206029,15.79271984,
2018/4/2,19.92134534,29.67861183,
2018/4/3,27.6300561,38.81597609,
2018/4/4,29.68669736,51.6250908,
2018/4/5,40.70429953,57.13877843,
2018/4/6,47.94100541,66.27246789,
2018/4/7,50.78769536,70.19444422,
2018/4/8,58.16149929,87.89010183,
2018/4/9,70.33754332,99.20231852,
2018/4/10,77.04823165,106.9059867,
2018/4/11,86.65183206,116.385652,
2018/4/12,91.52278405,127.7986698,
2018/4/13,93.20804686,132.0703222,
2018/4/14,96.57541095,139.9517774,
2018/4/15,99.18941476,146.0945242,
2018/4/16,110.9440399,157.0173876,
2018/4/17,122.2761628,173.2224581,
2018/4/18,132.9868415,184.6449566,
2018/4/19,130.1879027,186.8649245,
2018/4/20,132.3858754,188.454265,
2018/4/21,132.1350067,190.3506764,
2018/4/22,133.1886256,192.1239444,
2018/4/23,144.3152799,202.2989125,
2018/4/24,147.9127445,213.6682475,
2018/4/25,154.4350025,220.2079472,
2018/4/26,153.2606857,222.3692974,
2018/4/27,158.5465862,228.1014906,
2018/4/28,165.8550271,234.2205158,
2018/4/29,171.1109582,239.0967168,
2018/4/30,175.3781628,248.2356542,
2018/5/2,188.5719226,264.8180319,
2018/5/3,190.4657975,269.3755928,
2018/5/4,198.0803372,277.8843824,
2018/5/5,199.3153531,281.2313816,
2018/5/6,204.5348137,291.1453417,
2018/5/7,206.8375933,295.2805276,
2018/5/8,211.041323,298.2466094,
2018/5/9,218.8220738,309.654388,
2018/5/10,220.4300569,311.1193179,
2018/5/11,222.2920152,316.1009174,
2018/5/12,227.237981,323.6673138,
2018/5/13,236.2492116,336.6660809,
2018/5/14,243.3078914,347.0412223,
2018/5/15,247.4708468,354.0799486,
2018/5/16,255.1238719,364.0617255,
2018/5/17,257.9985659,369.3300692,
2018/5/18,261.7836511,373.037344,
2018/5/19,271.23158,392.2275997,
2018/5/20,284.0568605,406.2179464,
2018/5/21,285.8874254,410.4605828,
2018/5/22,293.0262275,426.0898262,
2018/5/23,297.7063822,437.8725614,
2018/5/24,311.1225,451.5242075,
2018/5/25,313.4799834,455.2382343,
