观测日期,降雨量
2018/1/1,0
2018/1/2,0
2018/1/3,0.06
2018/1/4,0.31
2018/1/5,0.09
2018/1/6,0
2018/1/7,0.08
2018/1/8,0.18
2018/1/9,0
2018/1/10,0
2018/1/11,0
2018/1/12,0
2018/1/13,0
2018/1/14,0.03
2018/1/15,0
2018/1/16,0.12
2018/1/17,0
2018/1/18,0
2018/1/19,0
2018/1/20,0
2018/1/21,0
2018/1/22,0
2018/1/23,0
2018/1/24,0
2018/1/25,0
2018/1/26,0.03
2018/1/27,0.12
2018/1/28,0.66
2018/1/29,0
2018/1/30,0.02
2018/1/31,0
2018/2/1,0
2018/2/2,0.09
2018/2/3,0.16
2018/2/4,0.22
2018/2/5,0.42
2018/2/6,0.01
2018/2/7,1.28
2018/2/8,0.23
2018/2/9,0.56
2018/2/10,0.7
2018/2/11,0.15
2018/2/12,0.02
2018/2/13,0
2018/2/14,0.16
2018/2/15,0.29
2018/2/16,0
2018/2/17,0
2018/2/18,0.09
2018/2/19,0.65
2018/2/20,1.03
2018/2/21,0.02
2018/2/22,0
2018/2/23,0.17
2018/2/24,0.61
2018/2/25,0.2
2018/2/26,0
2018/2/27,0.1
2018/2/28,0
2018/3/1,0.11
2018/3/2,0.02
2018/3/3,0
2018/3/4,0.58
2018/3/5,0.44
2018/3/6,2.01
2018/3/7,1.94
2018/3/8,0.08
2018/3/9,0.1
2018/3/10,0.59
2018/3/11,0.24
2018/3/12,2.23
2018/3/13,0.33
2018/3/14,0
2018/3/15,0.06
2018/3/16,0.07
2018/3/17,0.58
2018/3/18,0.48
2018/3/19,1.64
2018/3/20,0
2018/3/21,0
2018/3/22,0
2018/3/23,1.12
2018/3/24,6.54
2018/3/25,0.22
2018/3/26,3.01
2018/3/27,1.33
2018/3/28,0.1
2018/3/29,0
2018/3/30,0.82
2018/3/31,6.16
2018/4/1,0.18
2018/4/2,0
2018/4/3,0
2018/4/4,0.03
2018/4/5,1.13
2018/4/6,0.36
2018/4/7,0.15
2018/4/8,0
2018/4/9,0
2018/4/10,0.02
2018/4/11,0.1
2018/4/12,0.28
2018/4/13,2.22
2018/4/14,6.32
2018/4/15,1.39
2018/4/16,0.05
2018/4/17,0
2018/4/18,0.13
2018/4/19,1.34
2018/4/20,0.08
2018/4/21,0.76
2018/4/22,1.2
2018/4/23,6.29
2018/4/24,10.04
2018/4/25,4.75
2018/4/26,3.35
2018/4/27,2.63
2018/4/28,0.42
2018/4/29,0.14
2018/4/30,3.25
2018/5/1,3.02
2018/5/2,0.94
2018/5/3,2.02
2018/5/4,2.74
2018/5/5,3.83
2018/5/6,1.8
2018/5/7,0.06
2018/5/8,1.42
2018/5/9,2.86
2018/5/10,2.84
2018/5/11,9.37
2018/5/12,0.64
2018/5/13,0
2018/5/14,0.57
2018/5/15,0.04
2018/5/16,1.21
2018/5/17,5.41
2018/5/18,1.3
2018/5/19,2.92
2018/5/20,0.48
2018/5/21,2.05
2018/5/22,4.27
2018/5/23,1.02
2018/5/24,0.99
2018/5/25,4.74
2018/5/26,9.3
2018/5/27,6.05
2018/5/28,12.56
2018/5/29,6.23
2018/5/30,4.84
2018/5/31,3.03
2018/6/1,3.57
2018/6/2,3.18
2018/6/3,10.46
